contract_id,klant_id,startdatum,einddatum,abonnementstype,maandelijkse_kosten
CN28714,K0054,2017-07-27,2019-01-30,Zilver,96.22
CN94562,K0055,2017-12-14,,Basis,38.88
CN99006,K0055,2017-07-07,2019-01-08,Basis,68.41
CN79397,K0055,2017-08-19,2019-03-01,Basis,65.91
CN13396,K0056,2017-07-23,2018-12-06,Zilver,96.84
CN44116,K0056,2017-04-06,2019-02-26,Basis,40.94
CN74382,K0057,2017-08-17,2018-09-20,Goud,75.52
CN68341,K0057,2017-04-13,2018-02-12,Basis,56.16
CN48058,K0057,2017-02-14,2018-07-06,Basis,64.0
CN36342,K0058,2017-03-22,2018-03-15,Zilver,29.71
CN85009,K0058,2017-03-13,2018-05-09,Basis,48.87
CN62187,K0059,2017-08-28,2018-07-06,Basis,25.26
CN19666,K0059,2017-09-03,2019-08-22,Platina,85.87
CN82260,K0060,2017-06-12,2018-02-22,Goud,30.27
CN17263,K0061,2017-10-28,2018-10-29,Zilver,54.61
CN39552,K0061,2017-03-05,2019-02-13,Zilver,32.96
CN93238,K0061,2017-06-27,2019-06-08,Basis,40.05
CN32103,K0062,2017-05-21,2018-03-25,Basis,60.21
CN83874,K0062,2017-10-31,2018-10-03,Goud,87.4
CN84991,K0062,2017-01-22,,Goud,72.09
CN49596,K0063,2017-11-13,2018-06-12,Goud,71.35
CN19564,K0063,2017-09-05,2018-11-09,Platina,43.79
CN54589,K0064,2017-01-31,2018-01-07,Platina,57.16
CN55268,K0064,2017-11-07,2018-09-30,Goud,78.74
CN71141,K0064,2017-07-24,2018-06-02,Basis,45.53
CN60351,K0065,2017-05-17,2019-02-16,Basis,24.05
CN85718,K0066,2017-08-03,2018-10-11,Zilver,85.08
CN71186,K0066,2017-06-10,2018-06-19,Platina,99.68
CN76249,K0066,2017-09-13,2019-01-21,Basis,95.62
CN74866,K0067,2017-05-04,2018-06-08,Basis,24.04
CN66482,K0067,2017-11-02,2019-08-25,Basis,87.77
CN16705,K0068,2017-05-16,2018-11-21,Goud,23.62
CN76093,K0069,2017-10-15,2018-10-29,Goud,25.88
CN22672,K0069,2017-08-19,2018-11-28,Basis,30.29
CN57920,K0069,2017-07-21,2019-02-03,Goud,64.63
CN27961,K0070,2017-04-12,2019-03-14,Basis,23.62
CN77568,K0071,2017-06-20,2019-04-16,Zilver,68.5
CN90805,K0071,2017-03-13,2018-08-10,Goud,33.0
CN49294,K0071,2017-06-03,2018-11-09,Platina,76.7
CN86507,K0072,2017-01-09,2018-07-20,Basis,98.39
CN85821,K0072,2017-06-07,2017-12-31,Goud,97.37
CN91230,K0073,2017-04-27,2017-12-15,Zilver,61.94
CN24404,K0073,2017-07-14,2018-06-10,Zilver,22.53
CN36724,K0073,2017-04-08,2017-10-24,Platina,32.11
CN77984,K0074,2017-09-14,2019-07-08,Basis,76.46
CN51124,K0074,2017-04-17,2018-09-11,Platina,62.04
CN99226,K0075,2017-08-24,2019-08-19,Goud,74.07
CN46569,K0076,2017-12-21,2019-03-16,Zilver,96.59
CN37168,K0076,2017-10-13,2019-02-10,Goud,81.69
CN45842,K0076,2017-12-20,2019-10-31,Goud,64.84
CN29198,K0077,2017-03-04,2018-09-23,Platina,85.47
CN67983,K0077,2017-05-29,2018-01-07,Basis,47.71
CN45601,K0078,2017-05-12,2019-03-13,Goud,94.64
CN97796,K0078,2017-03-12,2017-12-28,Zilver,39.4
CN53292,K0078,2017-09-29,2018-11-14,Basis,28.02
CN82135,K0079,2017-08-30,2018-06-08,Zilver,20.41
CN36143,K0079,2017-03-22,2018-11-08,Platina,58.2
CN21725,K0079,2017-05-28,2018-10-18,Basis,92.63
CN32946,K0080,2017-10-21,2018-12-12,Basis,93.06
CN62034,K0080,2017-08-02,2018-07-28,Basis,99.77
CN11214,K0080,2017-09-11,2018-09-16,Goud,90.14
CN94058,K0081,2017-10-18,2018-08-03,Goud,42.76
CN71344,K0081,2017-10-06,2019-09-22,Zilver,88.08
CN34405,K0082,2017-04-09,2018-01-29,Platina,71.86
CN93719,K0082,2017-01-08,2018-06-17,Zilver,34.04
CN34219,K0083,2017-08-07,2019-07-15,Platina,73.54
CN60275,K0083,2017-03-13,2019-01-10,Zilver,20.55
CN85088,K0084,2017-08-17,2018-11-13,Goud,66.6
CN71000,K0085,2017-05-14,2018-11-13,Basis,73.42
CN93717,K0086,2017-03-23,2018-11-08,Goud,75.22
CN72676,K0086,2017-06-01,2018-12-09,Zilver,96.59
CN97044,K0087,2017-08-21,2019-03-06,Platina,80.59
CN83946,K0088,2017-05-07,2018-01-25,Goud,26.25
CN78202,K0089,2017-02-01,2018-12-30,Zilver,33.16
CN76895,K0090,2017-03-01,2018-03-26,Platina,27.28
CN17567,K0090,2017-08-17,2018-04-10,Platina,56.54
CN10395,K0091,2017-08-25,2019-01-02,Platina,40.36
CN80931,K0091,2017-04-22,,Goud,76.03
CN63591,K0091,2017-01-31,2017-10-08,Platina,22.54
CN59479,K0092,2017-03-11,2018-11-11,Platina,55.88
CN80419,K0093,2017-02-11,2017-12-24,Goud,29.49
CN12979,K0093,2017-07-21,2019-07-12,Zilver,86.79
CN55371,K0094,2017-08-26,2019-05-02,Zilver,39.8
CN96533,K0094,2017-03-21,2018-06-26,Basis,22.58
CN14400,K0095,2017-11-11,2018-05-26,Basis,28.07
CN40715,K0095,2017-08-17,2018-04-03,Basis,52.18
CN85511,K0096,2017-04-22,2017-12-15,Goud,38.73
CN78321,K0096,2017-06-13,2018-11-03,Zilver,98.86
CN87550,K0096,2017-04-24,2018-12-18,Basis,64.54
CN94320,K0097,2017-03-31,2018-12-08,Basis,97.78
CN63511,K0097,2017-12-10,2019-07-03,Goud,75.7
CN39536,K0097,2017-03-18,2018-07-18,Platina,39.28
CN64592,K0098,2017-12-29,2018-11-21,Basis,64.99
CN53288,K0098,2017-10-13,2019-10-05,Zilver,40.4
CN34966,K0099,2017-02-10,2018-11-12,Basis,62.85
CN34662,K0099,2017-01-27,2018-04-26,Basis,89.89
CN12009,K0099,2017-10-28,2018-12-04,Goud,44.26
CN89220,K0100,2017-04-08,2018-02-02,Platina,93.16
CN59894,K0101,2017-04-15,2018-11-22,Goud,82.04
CN77215,K0101,2017-08-27,2019-08-23,Goud,40.92
CN51973,K0101,2017-09-12,,Platina,80.93
CN12125,K0102,2017-07-09,2018-11-21,Zilver,79.3
CN59786,K0103,2017-10-11,2019-06-10,Zilver,46.39
CN74044,K0103,2017-10-19,2018-12-24,Goud,40.59
CN81636,K0104,2017-11-25,2019-10-08,Goud,33.54
CN19742,K0104,2017-09-08,2018-09-11,Basis,61.92
CN92667,K0104,2017-12-09,2018-07-26,Platina,31.0
CN90980,K0105,2017-02-04,,Platina,49.86
CN82305,K0106,2017-12-08,2019-10-13,Basis,20.53
CN47576,K0106,2017-07-30,,Goud,62.86
CN33496,K0106,2017-01-09,2018-12-04,Platina,84.49
CN43084,K0107,2017-02-19,2019-02-05,Zilver,69.58
CN41877,K0108,2017-05-17,,Platina,56.72
CN95182,K0108,2017-12-23,2019-02-07,Basis,72.3
CN11238,K0109,2017-02-17,2018-10-05,Platina,24.49
CN53420,K0110,2017-03-29,2017-12-18,Platina,71.59
CN84289,K0110,2017-10-17,2018-07-21,Basis,38.38
CN46749,K0110,2017-09-01,,Basis,74.75
CN37152,K0111,2017-10-16,2018-05-17,Goud,21.25
CN49226,K0111,2017-10-28,2018-09-20,Platina,94.31
CN80852,K0111,2017-03-25,2018-05-25,Platina,74.16
CN55332,K0112,2017-07-16,2018-06-04,Basis,60.06
CN90460,K0112,2017-01-28,2017-11-04,Basis,47.25
CN69054,K0113,2017-07-23,,Goud,82.68
CN99088,K0113,2017-09-09,2018-10-27,Platina,54.55
CN19634,K0113,2017-10-27,,Goud,83.84
CN51507,K0114,2017-05-18,2018-04-20,Zilver,79.17
CN45358,K0115,2017-02-24,,Goud,55.58
CN82710,K0115,2017-02-22,,Platina,55.91
CN88240,K0116,2017-07-28,,Goud,64.34
CN60829,K0116,2017-11-03,2019-03-30,Basis,43.35
CN32216,K0116,2017-02-13,2018-04-17,Zilver,74.83
CN66973,K0117,2017-05-18,2018-09-18,Zilver,25.06
CN42321,K0118,2017-08-04,2018-12-03,Basis,48.89
CN27758,K0118,2017-11-17,2019-10-05,Zilver,56.63
CN53193,K0119,2017-01-04,2018-08-12,Platina,84.33
CN89064,K0119,2017-08-14,2019-01-18,Zilver,44.03
CN48200,K0120,2017-04-13,2019-02-12,Platina,97.5
CN46739,K0120,2017-12-22,2019-11-04,Zilver,46.07
CN81516,K0120,2017-07-21,2019-01-25,Zilver,67.38
CN37479,K0121,2017-12-16,2018-07-11,Platina,95.44
CN28242,K0122,2017-05-30,2018-02-04,Platina,73.84
CN59412,K0122,2017-11-21,2019-03-26,Zilver,77.22
CN57124,K0123,2017-08-18,2019-06-19,Platina,63.49
CN56531,K0124,2017-10-02,2018-06-26,Zilver,72.61
CN53463,K0124,2017-03-27,2017-11-07,Platina,97.34
CN77999,K0124,2017-08-09,,Goud,37.76
CN99070,K0125,2017-10-25,2018-12-05,Platina,57.05
CN48722,K0125,2017-10-29,2019-09-21,Basis,58.62
CN54966,K0125,2017-08-01,2018-04-25,Zilver,47.87
CN69303,K0126,2017-04-16,2019-03-30,Platina,27.81
CN54967,K0126,2017-06-13,2018-02-16,Basis,21.81
CN82339,K0127,2017-02-25,2018-02-08,Zilver,61.28
CN63090,K0127,2017-03-23,2018-08-23,Platina,38.55
CN90492,K0127,2017-11-19,2018-11-22,Platina,51.65
CN18200,K0128,2017-08-19,2019-04-30,Zilver,36.46
CN24936,K0129,2017-02-22,2019-02-21,Goud,35.77
CN90125,K0129,2017-05-15,2019-03-27,Goud,67.76
CN98288,K0129,2017-07-20,2018-05-12,Platina,69.39
CN50026,K0130,2017-06-02,2018-02-23,Goud,29.43
CN64819,K0130,2017-03-01,2018-03-03,Zilver,60.87
CN93296,K0130,2017-11-02,2018-09-19,Platina,34.86
CN34523,K0131,2017-12-22,2018-12-14,Platina,43.11
CN73518,K0131,2017-06-11,2019-03-14,Goud,96.15
CN74451,K0131,2017-03-11,2018-03-25,Platina,52.73
CN38905,K0132,2017-12-30,2019-09-25,Basis,65.23
CN69942,K0132,2017-05-30,2017-12-29,Goud,33.46
CN81186,K0133,2017-09-11,2019-08-15,Basis,41.43
CN65725,K0133,2017-07-07,2018-02-14,Platina,63.71
CN55688,K0133,2017-02-22,2018-05-01,Basis,55.98
CN87060,K0134,2017-08-13,2018-06-09,Zilver,36.79
CN37124,K0135,2017-06-29,2019-03-09,Zilver,82.79
CN48356,K0135,2017-01-31,2018-07-24,Zilver,45.89
CN63948,K0135,2017-05-29,2018-08-25,Basis,30.85
CN52217,K0136,2017-05-22,2018-03-27,Zilver,39.97
CN59174,K0137,2017-12-13,2019-07-18,Goud,70.23
CN58374,K0138,2017-02-08,2017-11-10,Goud,75.58
CN22208,K0138,2017-08-21,2019-07-01,Basis,89.51
CN66314,K0139,2017-08-23,2019-02-20,Platina,37.43
CN85750,K0139,2017-04-19,2019-03-06,Goud,47.02
CN92074,K0139,2017-03-08,2019-01-13,Basis,23.68
CN10088,K0140,2017-01-09,2017-11-12,Zilver,55.3
CN49566,K0140,2017-08-08,2018-08-30,Zilver,90.57
CN97098,K0141,2017-05-21,2018-02-20,Goud,26.59
CN40689,K0142,2017-03-26,2017-11-14,Goud,78.08
CN20215,K0142,2017-08-08,2018-05-08,Basis,37.07
CN55032,K0142,2017-03-09,2018-04-24,Platina,20.74
CN23425,K0143,2017-08-05,2018-06-16,Zilver,50.65
CN27451,K0144,2017-06-10,2018-12-18,Zilver,50.62
CN31511,K0145,2017-12-13,,Basis,68.83
CN90750,K0145,2017-08-14,2019-02-04,Zilver,93.59
CN28351,K0145,2017-12-18,2019-09-12,Basis,91.73
CN28327,K0146,2017-10-29,2019-05-25,Platina,45.16
CN13515,K0147,2017-05-22,2018-02-12,Goud,82.32
CN48737,K0148,2017-06-04,2018-06-29,Zilver,79.83
CN24777,K0148,2017-11-27,2018-07-20,Zilver,59.59
CN11581,K0148,2017-05-04,2019-03-26,Basis,62.26
CN99514,K0149,2017-06-12,2018-04-23,Platina,49.23
CN18851,K0149,2017-03-30,2019-01-21,Basis,21.34
CN62163,K0150,2017-05-15,,Basis,95.89
CN20803,K0151,2017-05-27,2019-04-20,Platina,76.14
CN50620,K0151,2017-11-24,2019-11-23,Zilver,42.2
CN61213,K0151,2017-02-10,2019-01-14,Zilver,62.91
CN41278,K0152,2017-11-21,2018-07-26,Platina,78.4
CN90254,K0152,2017-01-30,,Platina,29.28
CN27984,K0152,2017-11-08,2018-07-02,Zilver,29.56
CN43980,K0153,2017-01-06,2017-12-19,Goud,61.84
CN25473,K0153,2017-03-27,2018-10-08,Goud,78.63
CN44465,K0153,2017-01-16,2018-06-23,Goud,61.91
CN84302,K0154,2017-10-23,2018-07-08,Goud,24.44
CN98358,K0154,2017-03-27,2018-10-04,Basis,91.54
CN11610,K0154,2017-03-01,2018-04-18,Basis,23.52
CN14635,K0155,2017-01-24,2018-11-18,Zilver,34.32
CN51934,K0156,2018-01-01,2019-09-02,Zilver,53.3
CN16903,K0156,2017-05-19,2018-02-02,Basis,60.16
CN19034,K0156,2017-04-02,2018-05-15,Basis,96.33
CN36302,K0157,2017-05-25,2018-10-05,Platina,20.64
CN87554,K0157,2017-05-30,2018-10-03,Zilver,57.11
CN80981,K0158,2017-04-11,2018-06-16,Platina,21.91
CN59319,K0158,2017-06-27,2018-01-02,Basis,80.71
CN17850,K0159,2017-06-07,2018-03-20,Zilver,53.59
CN78125,K0159,2017-03-14,,Zilver,91.78
CN76247,K0159,2017-07-31,2019-02-12,Basis,66.46
CN27132,K0160,2017-11-23,,Basis,54.8
CN52762,K0161,2017-05-30,2018-08-20,Platina,76.06
CN86638,K0162,2017-08-20,2018-11-21,Zilver,30.89
CN63282,K0162,2017-02-25,2018-01-30,Platina,57.28
CN70731,K0163,2017-10-02,2019-04-01,Zilver,56.15
CN89076,K0164,2017-03-03,2017-11-30,Goud,86.11
CN42534,K0164,2017-01-21,2018-02-25,Goud,31.87
CN32789,K0165,2017-07-22,,Goud,40.81
CN23357,K0165,2017-01-16,2018-09-02,Zilver,27.58
CN62505,K0166,2017-03-04,,Zilver,30.46
CN19828,K0167,2017-12-18,2018-09-10,Goud,93.39
CN22055,K0167,2017-01-12,2017-09-15,Platina,84.74
CN85220,K0168,2017-03-04,2017-10-13,Basis,33.44
CN32650,K0168,2017-08-10,2019-03-17,Platina,74.66
CN14541,K0169,2017-04-20,2018-04-26,Platina,90.67
CN82179,K0169,2017-11-11,2019-01-16,Platina,52.96
CN94233,K0170,2017-02-01,2017-10-28,Zilver,53.54
CN57069,K0170,2017-09-27,2018-12-06,Basis,99.15
CN33568,K0171,2017-10-06,2019-08-13,Goud,51.07
CN46822,K0171,2017-01-14,2018-06-04,Basis,91.66
CN23124,K0172,2017-08-30,2019-08-22,Zilver,97.92
CN38758,K0173,2017-12-03,2019-02-02,Basis,81.12
CN87662,K0174,2017-07-18,2019-01-12,Zilver,34.09
CN56095,K0174,2017-06-12,2018-12-11,Basis,76.28
CN74517,K0174,2017-10-18,2018-09-08,Zilver,86.94
CN88861,K0175,2017-06-08,2018-06-02,Basis,24.49
CN90495,K0175,2017-04-23,2017-11-09,Basis,46.54
CN52413,K0175,2017-04-14,2018-02-21,Zilver,93.5
CN78982,K0176,2017-01-12,2017-12-09,Zilver,81.95
CN54113,K0177,2017-02-07,2018-08-23,Platina,66.88
CN67261,K0177,2017-06-04,2018-10-27,Zilver,78.59
CN87194,K0178,2017-09-07,2019-01-24,Goud,37.86
CN10235,K0178,2017-03-31,2018-10-19,Goud,30.19
CN51709,K0178,2017-12-26,2019-07-29,Basis,34.57
CN20198,K0179,2017-04-24,2018-02-04,Zilver,46.49
CN21629,K0179,2017-05-02,2018-10-19,Zilver,70.89
CN18885,K0179,2017-12-29,2019-06-05,Goud,36.77
CN65004,K0180,2017-05-12,2018-02-26,Basis,50.87
CN59197,K0180,2017-03-27,2018-11-20,Platina,48.1
CN14379,K0181,2017-09-03,2018-10-18,Basis,83.94
CN32296,K0182,2017-01-11,2018-06-01,Basis,25.94
CN90431,K0182,2017-07-12,2018-06-21,Basis,47.04
CN66911,K0183,2017-12-27,2018-07-26,Zilver,68.59
CN63645,K0183,2017-03-22,2017-11-11,Zilver,97.95
CN16505,K0184,2017-10-11,2019-01-05,Goud,39.0
CN21485,K0184,2017-07-21,2019-06-03,Goud,20.31
CN93648,K0184,2017-05-31,2019-04-02,Basis,36.56
CN71727,K0185,2017-02-11,2018-12-07,Goud,82.79
CN59996,K0185,2017-09-08,,Platina,34.79
CN39654,K0186,2017-04-06,,Platina,57.2
CN55061,K0186,2017-05-18,2018-01-16,Basis,26.86
CN64870,K0187,2017-07-31,2018-09-16,Platina,85.47
CN20348,K0187,2017-10-02,2019-07-30,Zilver,58.1
CN68856,K0187,2017-07-22,2018-02-22,Zilver,29.62
CN20271,K0188,2017-03-27,2018-04-27,Zilver,23.41
CN43801,K0189,2017-08-11,2018-09-01,Zilver,86.73
CN46202,K0189,2017-06-13,,Platina,64.16
CN91665,K0189,2017-09-24,2019-07-05,Basis,82.92
CN87061,K0190,2017-09-25,2019-05-27,Zilver,31.86
CN80206,K0190,2017-10-26,2018-08-04,Basis,82.86
CN72003,K0190,2017-06-26,2019-02-16,Platina,65.76
CN53449,K0191,2017-03-30,2018-07-05,Platina,23.1
CN12651,K0192,2017-05-02,2017-12-18,Goud,91.76
CN99764,K0192,2017-06-22,2018-10-25,Platina,88.66
CN52056,K0192,2017-02-20,2018-04-09,Platina,81.92
CN63368,K0193,2017-08-02,2018-04-30,Zilver,93.07
CN30836,K0193,2017-09-06,2019-08-15,Basis,61.22
CN36309,K0194,2017-06-09,2019-05-08,Basis,33.9
CN45910,K0195,2017-05-08,2017-12-07,Goud,76.37
CN41711,K0196,2017-08-26,2019-07-24,Basis,74.49
CN72204,K0196,2017-07-10,2019-05-21,Zilver,96.84
CN21847,K0197,2017-10-10,2019-04-01,Goud,79.92
CN38091,K0197,2017-05-26,2017-12-20,Zilver,88.31
CN77276,K0197,2017-04-24,2018-06-08,Goud,72.13
CN88792,K0198,2017-12-16,2018-06-23,Zilver,71.79
CN94245,K0199,2017-04-25,2018-07-07,Goud,77.02
CN71171,K0200,2017-08-05,2019-02-21,Platina,40.16
CN10963,K0200,2017-06-04,2019-05-18,Platina,66.76
CN24169,K0201,2017-12-06,2019-06-22,Goud,43.88
CN46291,K0201,2017-09-04,2018-05-07,Goud,71.25
CN88647,K0201,2017-05-14,2018-09-11,Zilver,91.97
CN48745,K0202,2017-12-05,2019-04-26,Basis,72.43
CN84978,K0202,2017-05-13,2019-01-11,Basis,66.64
CN98063,K0203,2017-06-25,2018-08-06,Platina,92.52
CN71706,K0204,2017-09-17,2019-01-17,Zilver,43.5
CN53992,K0204,2017-03-07,2018-05-25,Zilver,95.75
CN53426,K0205,2017-02-15,2018-03-29,Goud,53.64
CN71674,K0205,2017-07-10,2018-09-29,Platina,88.1
CN99220,K0205,2017-01-28,2017-10-07,Zilver,60.04
CN36253,K0206,2017-09-29,2019-01-27,Zilver,30.99
CN33639,K0206,2017-06-25,2019-02-14,Platina,31.46
CN17603,K0207,2017-09-07,2019-02-09,Zilver,45.07
CN30766,K0208,2017-08-20,2018-11-23,Zilver,66.1
CN72573,K0209,2017-02-15,2017-12-24,Platina,52.27
CN11845,K0209,2017-07-16,,Zilver,78.45
CN42613,K0210,2017-09-29,,Basis,70.13
CN87158,K0210,2017-04-26,2018-10-10,Basis,50.68
CN69759,K0211,2017-03-27,2017-11-28,Goud,95.88
CN74248,K0211,2017-09-24,2019-09-10,Zilver,47.42
CN39402,K0212,2017-04-07,2018-03-21,Platina,21.53
CN95267,K0212,2017-03-09,2018-04-09,Zilver,29.85
CN16286,K0213,2017-07-12,2018-09-26,Basis,67.51
CN59840,K0214,2017-02-25,,Basis,53.34
CN99881,K0214,2017-03-05,2018-05-17,Zilver,36.44
CN45386,K0214,2017-11-19,2018-05-27,Basis,73.0
CN90962,K0215,2017-11-07,2018-09-23,Basis,60.93
CN89823,K0215,2017-03-02,2018-06-14,Basis,59.82
CN63707,K0215,2017-04-13,2018-07-06,Zilver,48.63
CN73001,K0216,2017-03-24,2017-10-30,Zilver,75.06
CN85255,K0216,2017-06-19,,Basis,92.55
CN23276,K0217,2017-09-10,2018-08-08,Basis,77.89
CN16564,K0217,2017-05-12,2018-07-02,Goud,41.13
CN98705,K0217,2017-02-21,2018-02-14,Goud,48.82
CN28139,K0218,2017-08-07,,Basis,20.77
CN45167,K0218,2017-12-06,2018-11-25,Platina,96.41
CN62461,K0219,2017-02-17,2018-09-01,Zilver,29.11
CN95045,K0219,2017-08-22,2018-11-23,Platina,83.99
CN30892,K0219,2017-03-27,2018-01-16,Basis,98.53
CN59774,K0220,2017-08-02,2019-06-07,Platina,34.5
CN73979,K0221,2017-11-10,2018-06-07,Zilver,58.65
CN51187,K0221,2017-02-27,2018-10-21,Basis,40.93
