klant_id,jaar_maand,gb_verbruikt,minuten_gebeld
K0012,2022-02,19.0,985
K0012,2023-08,24.4,927
K0012,2023-07,4.3,258
K0012,2022-11,27.2,84
K0012,2023-01,12.3,850
K0012,2023-11,35.8,944
K0012,2022-05,4.7,388
K0012,2023-05,37.5,247
K0012,2024-04,30.2,480
K0013,2022-11,30.7,97
K0013,2022-10,0.5,131
K0013,2023-06,29.7,691
K0013,2024-01,39.0,957
K0013,2023-11,25.3,70
K0013,2023-03,25.1,474
K0013,2022-07,13.7,578
K0014,2024-02,16.6,112
K0014,2023-06,34.3,991
K0014,2023-09,41.9,203
K0014,2023-12,24.1,255
K0014,2022-02,0.3,794
K0014,2022-09,37.2,669
K0014,2023-07,45.3,791
K0014,2022-04,18.8,309
K0014,2023-05,9.1,348
K0014,2023-04,43.3,597
K0014,2022-06,42.3,234
K0014,2023-03,35.7,827
K0014,2022-10,35.0,933
K0014,2023-02,5.8,168
K0014,2022-03,7.0,758
K0014,2022-01,48.9,619
K0014,2022-05,28.1,448
K0014,2023-10,24.8,813
K0015,2022-01,13.1,971
K0015,2023-11,33.2,486
K0015,2023-05,20.1,941
K0015,2024-03,12.2,950
K0015,2022-12,43.8,123
K0015,2023-09,1.2,88
K0015,2023-06,28.5,680
K0015,2022-04,9.8,675
K0015,2023-02,49.8,382
K0015,2023-04,27.9,489
K0015,2022-02,3.3,808
K0015,2022-09,32.8,596
K0015,2023-08,20.7,573
K0015,2024-02,2.0,207
K0015,2023-12,7.4,136
K0015,2022-07,37.3,400
K0015,2023-10,0.6,61
K0015,2023-07,25.5,12
K0015,2022-11,5.6,681
K0016,2023-07,5.0,397
K0016,2023-05,27.7,642
K0016,2022-01,27.1,823
K0016,2022-10,3.5,683
K0016,2022-05,6.3,522
K0016,2022-11,7.3,778
K0016,2022-08,3.4,525
K0016,2023-04,49.5,74
K0016,2022-07,28.3,252
K0016,2023-08,31.3,423
K0016,2023-09,42.0,370
K0016,2023-06,46.9,847
K0016,2024-03,13.1,61
K0016,2022-04,37.6,43
K0017,2024-01,31.8,247
K0017,2023-01,29.9,294
K0017,2022-01,24.9,76
K0017,2022-07,21.6,31
K0017,2023-10,20.9,575
K0017,2022-12,4.2,913
K0017,2024-03,38.9,791
K0017,2023-03,32.1,378
K0017,2023-08,13.9,287
K0017,2022-08,23.2,826
K0017,2022-05,49.3,349
K0017,2023-04,15.2,548
K0017,2023-02,30.3,941
K0017,2022-11,15.4,971
K0017,2023-05,23.5,499
K0017,2023-12,19.3,892
K0018,2023-11,25.7,320
K0018,2023-06,46.3,331
K0018,2023-10,45.4,579
K0018,2023-08,9.6,995
K0018,2024-01,15.3,845
K0018,2024-02,16.7,692
K0018,2023-07,20.6,270
K0018,2022-05,29.9,685
K0018,2023-04,33.0,786
K0018,2022-11,30.7,805
K0018,2022-03,7.0,788
K0018,2023-12,34.4,194
K0018,2024-04,34.4,370
K0018,2022-09,35.6,566
K0018,2023-03,16.1,817
K0018,2022-10,23.1,532
K0018,2023-05,8.7,741
K0018,2022-02,36.1,298
K0018,2023-09,31.9,210
K0018,2023-01,29.9,648
K0018,2023-02,41.5,187
K0018,2022-07,44.4,829
K0018,2024-03,24.8,251
K0018,2022-08,19.6,734
K0019,2023-07,9.4,956
K0019,2023-03,12.7,506
K0019,2023-06,22.7,563
K0019,2022-11,29.2,283
K0019,2022-05,25.6,430
K0019,2022-09,10.0,52
K0019,2023-08,49.1,643
K0019,2022-03,49.1,609
K0019,2023-11,5.4,447
K0019,2022-04,19.3,122
K0019,2023-01,7.0,125
K0019,2024-02,18.1,820
K0019,2022-01,49.7,42
K0019,2022-02,42.4,284
K0020,2023-06,44.6,580
K0020,2024-04,3.0,114
K0020,2022-09,16.9,639
K0020,2022-05,36.0,291
K0020,2022-04,21.5,236
K0020,2023-10,11.0,618
K0020,2023-02,28.5,273
K0020,2022-07,46.4,362
K0020,2022-02,42.0,155
K0021,2023-06,40.3,844
K0021,2023-07,19.2,554
K0021,2022-11,30.8,977
K0021,2024-01,8.0,584
K0021,2022-08,37.0,997
K0021,2022-06,13.5,497
K0022,2022-04,45.9,286
K0022,2022-08,5.4,244
K0022,2023-02,33.6,445
K0022,2024-03,29.0,614
K0022,2024-01,42.5,456
K0022,2023-03,10.7,102
K0022,2023-08,42.4,418
K0022,2022-06,35.6,453
K0022,2023-09,7.5,909
K0023,2024-04,41.9,621
K0023,2023-08,10.3,147
K0023,2024-01,35.2,615
K0023,2023-01,41.8,699
K0023,2022-01,18.9,806
K0023,2023-06,20.2,223
K0023,2022-09,15.7,414
K0023,2022-07,13.7,732
K0023,2023-04,14.5,236
K0023,2023-02,19.0,898
K0023,2023-05,23.5,24
K0023,2022-11,34.3,576
K0023,2023-11,12.2,714
K0023,2023-12,3.2,730
K0023,2022-08,40.0,398
K0023,2023-10,28.6,368
K0023,2022-10,19.0,502
K0023,2023-09,21.8,456
K0024,2022-03,4.5,937
K0024,2023-02,7.9,630
K0024,2022-09,34.8,51
K0024,2022-12,12.5,537
K0024,2022-08,46.6,463
K0024,2024-02,7.5,145
K0024,2024-01,42.9,285
K0024,2023-11,43.6,190
K0024,2023-04,11.5,319
K0024,2022-06,8.3,68
K0024,2023-07,11.6,94
K0024,2023-12,31.0,586
K0024,2022-07,32.7,803
K0024,2024-03,43.6,887
K0024,2022-01,47.1,180
K0024,2023-08,14.4,481
K0024,2023-06,47.1,916
K0024,2023-03,8.4,17
K0024,2022-04,40.4,200
K0025,2022-03,27.7,377
K0025,2024-01,36.2,156
K0025,2022-04,26.7,191
K0025,2022-09,12.3,8
K0025,2022-06,16.3,175
K0025,2023-06,38.3,525
K0025,2024-02,40.7,512
K0025,2023-03,25.2,58
K0026,2022-05,8.1,620
K0026,2022-06,37.7,68
K0026,2022-02,49.1,139
K0026,2023-04,0.0,471
K0026,2024-04,26.4,501
K0026,2023-12,33.9,404
K0026,2022-08,27.5,743
K0026,2023-08,20.2,537
K0026,2022-12,23.3,662
K0026,2023-07,47.2,362
K0026,2022-09,39.3,591
K0026,2023-03,35.9,767
K0026,2023-10,20.3,257
K0026,2024-01,26.2,417
K0026,2022-03,8.3,878
K0026,2023-09,25.0,824
K0026,2024-02,1.8,75
K0026,2022-04,30.0,376
K0027,2022-04,31.9,150
K0027,2023-08,22.5,604
K0027,2023-02,39.5,767
K0027,2023-01,7.0,812
K0027,2024-01,15.1,250
K0027,2022-10,7.1,922
K0027,2022-12,11.4,449
K0027,2022-01,12.6,408
K0027,2022-11,23.3,476
K0027,2023-04,18.6,209
K0027,2022-07,23.2,425
K0027,2023-09,48.0,251
K0027,2023-06,47.4,918
K0027,2023-07,32.0,103
K0027,2023-12,14.8,54
K0028,2023-03,15.5,518
K0028,2023-01,8.3,103
K0028,2023-09,7.3,728
K0028,2023-02,28.1,61
K0028,2022-03,1.2,223
K0028,2023-08,31.5,380
K0028,2022-10,1.2,413
K0028,2022-12,16.7,627
K0028,2023-05,23.0,636
K0028,2023-06,16.3,376
K0028,2023-04,2.5,529
K0028,2022-02,29.3,904
K0028,2023-07,21.9,499
K0028,2023-11,21.7,526
K0028,2022-06,1.8,798
K0028,2024-01,27.4,766
K0028,2022-04,28.3,68
K0029,2024-03,38.1,201
K0029,2023-01,4.7,393
K0029,2022-11,13.8,225
K0029,2023-10,2.1,310
K0029,2023-11,0.6,136
K0029,2023-03,9.7,582
K0029,2023-09,9.7,818
K0029,2022-09,41.3,155
K0029,2022-05,21.3,581
K0029,2023-08,12.8,938
K0030,2022-01,4.0,470
K0030,2022-03,40.6,350
K0030,2022-06,30.8,381
K0030,2022-02,42.5,978
K0030,2022-09,47.8,590
K0030,2023-04,27.9,910
K0030,2024-03,45.1,759
K0030,2022-08,16.5,680
K0030,2023-03,16.3,159
K0030,2024-02,33.4,855
K0030,2023-11,35.8,532
K0030,2022-04,34.1,825
K0031,2022-08,40.1,263
K0031,2024-03,5.3,151
K0031,2022-01,27.8,864
K0031,2023-02,39.2,901
K0031,2023-04,47.8,475
K0031,2022-09,45.3,948
K0031,2022-11,4.9,555
K0031,2023-05,25.3,422
K0031,2022-10,37.1,429
K0031,2023-12,28.3,306
K0031,2023-01,4.1,166
K0031,2022-02,31.2,971
K0031,2023-08,46.4,67
K0032,2022-02,29.4,415
K0032,2023-02,21.5,240
K0032,2023-01,14.3,625
K0032,2024-03,40.2,344
K0032,2022-05,8.0,334
K0032,2024-01,29.7,873
K0032,2023-04,4.1,84
K0032,2022-01,4.1,755
K0032,2022-11,0.4,553
K0032,2022-12,21.4,918
K0032,2022-04,4.6,993
K0032,2022-10,39.7,714
K0032,2022-08,32.4,52
K0032,2023-10,0.1,181
K0032,2023-03,1.6,298
K0032,2022-07,49.2,375
K0033,2023-10,44.9,843
K0033,2023-07,49.7,110
K0033,2022-03,13.4,298
K0033,2022-02,30.8,538
K0033,2022-06,3.6,627
K0033,2022-10,14.2,66
K0033,2022-11,23.1,872
K0033,2022-04,13.0,658
K0033,2024-01,38.8,527
K0033,2024-03,4.8,621
K0033,2024-02,11.2,290
K0033,2023-08,1.6,872
K0033,2022-01,16.9,166
K0033,2023-02,34.7,829
K0033,2023-09,22.6,974
K0033,2023-01,25.4,300
K0033,2023-06,32.7,834
K0034,2023-02,49.9,129
K0034,2024-02,7.5,75
K0034,2022-08,14.1,340
K0034,2022-10,34.4,593
K0034,2023-10,12.0,493
K0034,2022-11,21.8,125
K0034,2022-07,46.5,684
K0034,2024-03,47.1,565
K0034,2023-03,36.5,309
K0034,2022-05,46.9,214
K0034,2023-07,44.8,671
K0034,2022-02,1.7,160
K0034,2022-03,19.5,353
K0034,2022-01,3.3,32
K0034,2024-01,42.1,822
K0034,2023-05,12.6,191
K0034,2023-04,40.6,474
K0034,2023-01,32.9,407
K0035,2023-03,43.8,342
K0035,2022-05,7.4,905
K0035,2022-11,7.0,525
K0035,2023-12,30.2,980
K0035,2023-11,13.9,207
K0035,2023-02,36.0,427
K0035,2023-10,1.9,9
K0035,2024-02,31.6,728
K0035,2023-07,17.1,629
K0035,2022-06,18.7,2
K0035,2022-01,5.2,790
K0035,2023-08,41.2,513
K0035,2022-09,10.1,151
K0035,2022-07,16.6,674
K0035,2022-02,42.9,761
K0035,2022-08,25.2,543
K0036,2023-05,31.4,810
K0036,2023-07,3.1,849
K0036,2023-08,43.9,951
K0036,2024-02,23.2,905
K0036,2022-07,30.4,236
K0036,2023-02,46.2,854
K0036,2022-02,29.5,460
K0036,2023-03,13.2,912
K0036,2024-03,32.6,39
K0036,2023-06,40.8,684
K0036,2022-10,45.2,260
K0036,2023-09,19.7,4
K0036,2023-10,26.5,41
K0036,2022-05,11.1,841
K0036,2022-06,22.5,406
K0036,2022-01,0.1,48
K0036,2023-12,47.9,821
K0036,2024-01,40.2,548
K0037,2023-02,21.5,336
K0037,2022-01,32.3,969
K0037,2023-05,24.0,101
K0037,2023-12,6.5,767
K0037,2023-09,36.6,173
K0037,2022-10,32.9,687
K0037,2023-08,12.9,165
K0037,2022-02,45.3,208
K0037,2023-04,36.5,370
K0037,2023-07,4.9,954
K0037,2022-07,14.4,555
K0037,2023-11,34.6,654
K0037,2022-04,3.4,159
K0037,2024-04,43.7,873
K0037,2023-10,46.9,976
K0037,2023-06,12.0,797
K0037,2022-09,38.5,776
K0037,2022-06,47.2,988
K0037,2022-03,8.9,783
K0037,2022-12,22.6,124
K0037,2023-03,25.0,855
K0037,2024-03,39.0,476
K0037,2022-11,25.5,492
K0038,2024-02,7.3,164
K0038,2022-03,26.1,706
K0038,2022-12,26.7,490
K0038,2024-03,49.6,775
K0038,2024-04,31.6,30
K0038,2022-06,17.0,398
K0038,2023-01,39.6,442
K0038,2022-07,5.2,524
K0038,2023-06,38.8,412
K0038,2022-09,10.6,194
K0038,2022-01,31.1,495
K0038,2024-01,38.7,765
K0038,2023-05,34.9,999
K0038,2023-04,49.7,232
K0039,2023-06,48.5,882
K0039,2024-01,23.2,137
K0039,2023-03,42.2,608
K0039,2023-01,26.0,784
K0039,2022-11,5.8,139
K0039,2023-09,23.7,566
K0039,2022-12,49.8,743
K0039,2022-07,38.1,122
K0039,2022-02,31.2,33
K0039,2023-08,39.3,653
K0039,2024-02,15.9,319
K0039,2023-11,26.9,435
K0039,2022-01,14.7,879
K0039,2022-10,5.3,961
K0039,2022-06,15.0,987
K0039,2023-04,49.9,712
K0039,2023-12,12.9,388
K0039,2023-02,50.0,287
K0039,2023-10,17.0,421
K0039,2023-05,49.1,998
K0039,2024-03,26.5,76
K0040,2022-10,28.8,596
K0040,2023-12,40.0,237
K0040,2024-04,2.5,318
K0040,2023-02,42.1,563
K0040,2022-01,37.7,934
K0040,2024-03,43.0,831
K0040,2024-02,35.6,957
K0040,2022-11,28.9,707
K0040,2022-06,27.3,928
K0040,2022-03,27.6,304
K0040,2022-05,5.0,413
K0040,2023-05,37.6,41
K0040,2022-04,15.6,899
K0040,2023-08,21.0,673
K0040,2022-02,16.7,758
K0040,2024-01,2.6,70
K0040,2023-06,4.7,967
K0040,2023-03,29.4,109
K0040,2023-09,44.6,43
K0040,2023-01,23.5,369
K0040,2023-07,20.3,109
K0041,2022-06,35.4,173
K0041,2023-07,36.9,841
K0041,2023-06,43.2,521
K0041,2022-08,11.9,417
K0041,2022-03,0.3,535
K0041,2022-11,43.8,590
K0041,2024-04,39.7,794
K0041,2023-10,42.1,504
K0041,2024-03,27.4,60
K0041,2022-04,21.5,627
K0041,2022-01,33.3,197
K0041,2023-04,41.3,299
K0041,2022-07,17.2,414
K0041,2022-12,48.7,421
K0042,2022-10,35.6,236
K0042,2022-09,49.9,762
K0042,2022-08,2.3,73
K0042,2023-08,34.2,136
K0042,2022-04,48.3,283
K0042,2023-11,48.0,588
K0042,2023-02,0.1,215
K0042,2024-03,35.9,849
K0042,2024-01,34.8,423
K0042,2023-04,5.3,211
K0042,2022-01,22.4,150
K0042,2023-12,36.2,804
K0042,2023-01,6.2,377
K0042,2024-04,16.3,420
K0042,2023-05,18.9,531
K0042,2022-12,34.0,454
K0042,2022-05,33.2,878
K0042,2022-03,31.8,211
K0042,2023-03,19.5,192
K0042,2022-11,43.5,878
K0042,2022-02,47.3,248
K0042,2022-06,24.5,971
K0042,2024-02,13.7,50
K0042,2022-07,12.6,443
K0043,2022-06,3.3,465
K0043,2022-02,17.4,659
K0043,2024-02,11.2,205
K0043,2024-03,34.4,282
K0043,2023-12,42.0,986
K0043,2023-03,19.5,164
K0043,2023-05,24.0,448
K0043,2022-10,45.2,17
K0043,2022-07,39.1,660
K0043,2023-02,24.3,224
K0043,2022-04,49.3,564
K0043,2023-09,25.5,956
K0043,2022-05,7.2,274
K0043,2023-04,36.1,534
K0043,2023-11,12.7,101
K0043,2022-03,13.6,674
K0043,2023-08,25.8,317
K0043,2022-01,37.3,20
K0043,2022-08,3.1,980
K0043,2022-09,44.2,247
K0044,2022-09,16.4,706
K0044,2024-02,38.5,429
K0044,2022-08,28.4,1
K0044,2024-01,24.1,191
K0044,2023-10,5.4,313
K0044,2023-06,36.0,435
K0044,2023-08,12.6,823
K0044,2023-07,13.6,204
K0044,2023-05,31.4,685
K0044,2022-06,42.1,616
K0044,2023-04,28.3,365
K0044,2023-12,4.8,483
K0044,2022-01,31.2,911
K0044,2022-03,12.2,46
K0044,2023-11,42.9,365
K0045,2024-01,5.1,999
K0045,2022-08,27.4,735
K0045,2023-06,6.8,755
K0045,2022-11,10.7,379
K0045,2023-04,4.8,262
K0045,2024-03,0.6,601
K0045,2023-02,20.5,287
K0045,2024-02,32.2,911
K0045,2022-01,22.5,214
K0045,2022-03,4.7,945
K0045,2022-04,11.8,121
K0045,2022-05,4.7,256
K0045,2023-11,39.6,549
K0045,2022-07,37.3,960
K0045,2023-10,38.0,45
K0045,2023-08,23.8,283
K0045,2023-09,27.1,673
K0045,2023-12,37.9,746
K0045,2023-03,0.3,862
K0045,2022-09,24.5,221
K0045,2022-02,39.8,908
K0046,2022-04,49.0,585
K0046,2022-03,1.1,281
K0046,2023-05,9.6,842
K0046,2023-07,7.8,755
K0046,2022-08,2.3,183
K0046,2024-01,9.8,214
K0046,2022-09,9.9,302
K0046,2022-01,23.0,677
K0046,2023-02,22.5,633
K0046,2022-12,6.7,120
K0046,2023-11,36.3,741
K0046,2023-03,10.2,642
K0046,2022-06,37.8,779
K0046,2023-09,15.0,703
K0046,2023-06,21.6,704
K0046,2022-02,3.2,922
K0047,2023-04,38.2,216
K0047,2023-01,3.7,425
K0047,2022-01,5.4,234
K0047,2022-06,35.0,170
K0047,2022-12,13.3,532
K0047,2022-02,35.7,905
K0047,2023-06,33.9,972
K0047,2024-01,45.0,605
K0047,2023-02,44.9,939
K0047,2022-04,29.3,337
K0047,2022-03,44.3,161
K0048,2023-10,6.3,55
K0048,2023-07,11.5,717
K0048,2022-07,26.7,877
K0048,2023-03,5.7,490
K0048,2023-02,19.7,665
K0048,2022-06,29.0,755
K0048,2023-08,40.8,54
K0048,2024-01,25.9,551
K0048,2022-09,43.8,818
K0048,2022-11,6.3,929
K0048,2024-04,2.5,878
K0048,2024-02,30.3,905
K0048,2022-01,3.7,551
K0048,2022-04,27.6,347
K0048,2023-05,26.3,95
K0048,2022-05,13.0,340
K0048,2023-12,27.4,847
K0048,2023-06,8.9,437
K0048,2022-08,24.5,858
K0048,2022-02,10.3,822
K0048,2024-03,39.5,715
K0048,2022-12,31.8,530
K0048,2023-11,7.4,452
K0049,2023-02,34.1,867
K0049,2023-12,16.9,33
K0049,2023-09,38.3,798
K0049,2023-06,1.4,680
K0049,2022-03,34.5,883
K0049,2022-11,40.5,31
K0049,2023-03,4.2,168
K0049,2022-06,37.9,827
K0050,2022-03,40.6,614
K0050,2024-04,33.4,552
K0050,2023-11,23.8,502
K0050,2022-07,26.1,786
K0050,2023-04,3.8,179
K0050,2022-04,41.2,295
K0050,2023-03,25.1,807
K0050,2023-06,2.1,388
K0050,2022-12,23.4,519
K0050,2022-02,21.7,26
K0050,2022-01,2.2,50
K0050,2022-05,0.1,267
K0050,2023-08,44.3,386
K0050,2022-06,17.3,349
K0050,2024-01,4.4,741
K0050,2022-11,25.8,542
K0050,2023-07,7.5,386
K0050,2022-09,28.2,241
K0050,2023-05,20.6,816
K0050,2022-10,13.5,233
K0050,2023-01,49.5,378
K0050,2023-12,33.1,374
K0050,2023-09,15.5,174
K0050,2022-08,39.3,384
K0051,2023-06,10.4,420
K0051,2023-11,30.1,628
K0051,2022-02,27.9,632
K0051,2023-09,17.8,17
K0051,2023-04,38.6,797
K0051,2024-02,31.8,961
K0051,2023-02,42.8,538
K0052,2022-05,45.8,756
K0052,2022-03,0.2,640
K0052,2022-02,36.7,985
K0052,2022-09,42.8,181
K0052,2024-02,27.4,485
K0052,2022-04,24.9,953
K0052,2023-01,12.5,198
K0052,2024-01,18.9,782
K0052,2023-05,9.4,663
K0052,2023-11,3.2,274
K0052,2023-06,12.1,689
K0053,2022-05,28.6,685
K0053,2023-11,33.3,314
K0053,2023-01,20.4,162
K0053,2023-08,1.0,900
K0053,2023-10,21.0,734
K0053,2022-10,6.5,739
K0053,2022-06,36.3,541
K0053,2023-05,21.5,106
K0054,2024-01,2.1,412
K0054,2022-09,39.4,738
K0054,2022-03,33.8,348
K0054,2023-03,27.2,191
K0054,2022-02,14.7,982
K0054,2023-01,43.3,746
K0054,2022-10,1.2,86
K0054,2023-09,23.5,315
K0054,2023-11,20.6,286
K0054,2022-06,43.2,525
K0054,2022-12,28.8,834
K0054,2023-06,26.5,938
K0054,2023-10,45.9,790
K0054,2023-02,11.3,111
K0054,2024-04,18.4,569
K0055,2023-05,26.3,601
K0055,2022-06,15.8,725
K0055,2022-09,6.1,745
K0055,2022-11,11.1,144
K0055,2023-12,40.3,92
K0055,2022-05,4.7,614
K0055,2023-03,22.7,477
K0055,2023-08,36.1,806
K0055,2022-02,6.2,49
K0055,2024-01,30.3,203
K0055,2023-09,12.1,93
K0055,2022-10,31.5,202
K0055,2023-06,24.6,137
K0055,2023-02,20.2,330
K0055,2023-11,50.0,40
K0055,2022-04,44.1,875
K0055,2023-01,1.7,78
K0055,2022-12,47.8,940
K0055,2023-07,37.5,779
K0055,2024-03,25.2,776
K0055,2024-04,48.1,398
K0055,2022-07,4.8,983
K0056,2024-04,34.4,341
K0056,2023-02,23.6,719
K0056,2024-01,24.9,746
K0056,2023-06,14.2,610
K0056,2023-12,6.0,742
K0056,2023-05,45.4,938
K0056,2022-01,0.2,635
K0056,2023-10,34.0,401
K0056,2022-06,18.4,811
K0056,2022-07,17.3,907
K0056,2023-09,2.9,318
K0056,2024-02,30.2,827
K0056,2022-04,6.2,538
K0056,2023-08,32.0,588
K0056,2023-01,14.3,552
K0056,2023-07,14.6,236
K0056,2022-02,19.9,488
K0056,2022-09,17.1,27
K0056,2022-03,29.3,774
K0056,2022-11,49.8,199
K0056,2023-11,8.5,740
K0056,2022-12,7.9,220
K0057,2022-05,24.6,404
K0057,2022-03,21.4,989
K0057,2022-08,39.5,47
K0057,2023-03,26.0,98
K0057,2022-09,5.8,131
K0057,2022-11,21.3,866
K0057,2023-11,0.9,43
K0057,2023-02,47.2,895
K0057,2024-03,49.5,532
K0057,2023-08,44.2,369
K0057,2023-12,19.5,905
K0057,2022-02,30.4,837
K0057,2022-10,43.6,27
K0057,2023-07,19.3,701
K0057,2023-06,22.8,328
K0057,2023-09,47.0,217
K0057,2022-07,5.0,179
K0057,2022-01,38.4,260
K0057,2022-06,44.9,364
K0057,2023-10,2.6,440
K0057,2023-04,25.5,187
K0057,2023-05,21.8,111
K0058,2023-09,17.1,243
K0058,2023-04,23.8,683
K0058,2023-02,45.6,754
K0058,2024-01,44.7,139
K0058,2023-06,20.4,217
K0058,2024-04,11.7,383
K0058,2022-05,30.7,127
K0058,2023-08,2.7,683
K0058,2022-07,18.5,707
K0058,2023-05,34.7,620
K0058,2022-09,41.1,519
K0058,2022-10,18.4,578
K0058,2022-02,29.0,66
K0058,2024-03,40.2,292
K0058,2022-04,28.7,957
K0058,2023-10,0.8,463
K0058,2023-12,49.6,596
K0058,2022-01,40.4,412
K0058,2022-12,37.8,723
K0058,2022-08,28.6,965
K0058,2024-02,31.3,785
K0059,2024-02,14.7,790
K0059,2023-01,25.0,317
K0059,2024-01,28.5,811
K0059,2023-10,48.7,199
K0059,2022-10,47.7,911
K0059,2023-06,9.5,189
K0059,2023-09,42.0,826
K0059,2023-08,41.0,301
K0059,2024-04,39.0,794
K0059,2023-03,48.5,413
K0059,2022-03,28.2,983
K0059,2023-05,46.9,417
K0059,2023-12,31.1,23
K0059,2023-11,49.5,484
K0059,2022-09,7.8,655
K0059,2024-03,5.9,782
K0059,2022-06,20.9,913
K0059,2023-04,1.5,452
K0059,2022-07,8.7,221
K0059,2022-04,15.5,965
K0059,2023-07,49.7,233
K0059,2022-08,26.0,225
K0059,2022-05,16.3,678
K0059,2022-01,30.1,370
K0060,2023-05,1.5,823
K0060,2022-05,42.4,150
K0060,2023-10,20.3,781
K0060,2023-06,17.9,692
