ticket_id,klant_id,aangemaakt_op,opgelost_op,probleemtype,tevredenheidsscore
T35507,K0051,2022-03-07,2022-03-13,Facturatieprobleem,4.0
T39573,K0051,2021-12-09,,Facturatieprobleem,
T31558,K0051,2022-12-08,2022-12-10,Technische storing,2.0
T72910,K0052,2021-11-15,,Facturatieprobleem,1.0
T42394,K0052,2022-03-19,2022-03-29,Abonnementsvraag,3.0
T41030,K0054,2021-09-02,2021-09-03,Abonnementsvraag,5.0
T91965,K0054,2021-03-16,2021-03-26,Andere,1.0
T59465,K0054,2022-04-03,2022-04-05,Facturatieprobleem,1.0
T17181,K0055,2023-05-19,2023-05-22,Facturatieprobleem,4.0
T98809,K0055,2021-11-05,2021-11-12,Facturatieprobleem,1.0
T90911,K0057,2021-02-23,2021-03-02,Andere,1.0
T60321,K0057,2023-02-10,2023-02-20,Facturatieprobleem,4.0
T95317,K0057,2022-04-21,2022-05-01,Facturatieprobleem,3.0
T35228,K0057,2022-11-23,2022-12-01,Abonnementsvraag,5.0
T26512,K0061,2023-01-01,,Technische storing,5.0
T91376,K0061,2022-10-15,2022-10-21,Andere,4.0
T26735,K0061,2022-04-01,2022-04-04,Facturatieprobleem,1.0
T86502,K0061,2021-11-16,2021-11-25,Abonnementsvraag,3.0
T54944,K0062,2023-03-06,2023-03-14,Abonnementsvraag,5.0
T41114,K0062,2021-10-26,2021-10-27,Technische storing,1.0
T55064,K0062,2022-06-04,2022-06-13,Facturatieprobleem,4.0
T34819,K0062,2021-07-20,2021-07-24,Facturatieprobleem,3.0
T84199,K0063,2022-05-03,2022-05-11,Abonnementsvraag,5.0
T23742,K0063,2021-12-10,2021-12-17,Abonnementsvraag,2.0
T10484,K0063,2022-04-11,2022-04-12,Andere,2.0
T37936,K0063,2022-10-17,2022-10-21,Andere,5.0
T62469,K0063,2021-09-02,2021-09-08,Andere,2.0
T56908,K0064,2023-04-26,2023-05-02,Facturatieprobleem,1.0
T86767,K0066,2021-04-28,2021-05-06,Technische storing,
T47237,K0066,2023-02-23,2023-02-24,Technische storing,2.0
T82680,K0066,2021-06-28,2021-07-03,Technische storing,3.0
T23263,K0066,2021-09-09,2021-09-10,Technische storing,3.0
T49986,K0068,2021-05-21,2021-05-23,Abonnementsvraag,2.0
T91684,K0068,2022-04-13,2022-04-19,Technische storing,5.0
T27143,K0068,2022-03-21,2022-03-23,Facturatieprobleem,2.0
T59054,K0068,2023-03-25,2023-04-03,Andere,
T86981,K0068,2021-11-22,2021-11-26,Facturatieprobleem,5.0
T16980,K0069,2023-05-25,2023-05-28,Abonnementsvraag,2.0
T20670,K0070,2023-03-26,2023-03-29,Andere,2.0
T76665,K0070,2023-03-15,2023-03-25,Facturatieprobleem,2.0
T78012,K0070,2022-02-02,2022-02-11,Abonnementsvraag,4.0
T74853,K0070,2022-04-21,2022-04-27,Andere,
T38773,K0070,2022-05-01,2022-05-08,Facturatieprobleem,2.0
T65708,K0071,2022-04-08,2022-04-15,Technische storing,3.0
T21109,K0072,2022-08-09,2022-08-15,Abonnementsvraag,5.0
T56081,K0072,2021-05-18,2021-05-23,Andere,5.0
T69133,K0072,2021-08-24,2021-09-01,Abonnementsvraag,4.0
T60118,K0073,2022-03-19,2022-03-27,Abonnementsvraag,3.0
T19946,K0073,2021-01-26,2021-01-30,Abonnementsvraag,
T39850,K0073,2022-01-03,2022-01-08,Facturatieprobleem,3.0
T53154,K0077,2021-02-09,2021-02-15,Technische storing,
T89171,K0077,2021-09-14,2021-09-19,Technische storing,
T49252,K0078,2023-05-26,2023-06-04,Abonnementsvraag,1.0
T95892,K0079,2023-04-23,2023-04-30,Andere,5.0
T39829,K0079,2021-01-13,2021-01-22,Technische storing,4.0
T86939,K0080,2023-01-11,2023-01-19,Technische storing,5.0
T51035,K0081,2023-02-15,2023-02-23,Abonnementsvraag,1.0
T68978,K0081,2023-05-17,2023-05-24,Technische storing,4.0
T26822,K0081,2023-05-24,2023-05-30,Technische storing,5.0
T56486,K0081,2021-11-09,2021-11-10,Andere,
T86933,K0082,2021-08-19,2021-08-26,Abonnementsvraag,3.0
T53286,K0082,2021-01-24,2021-01-25,Technische storing,2.0
T36765,K0083,2022-10-07,2022-10-17,Andere,4.0
T72230,K0083,2022-02-05,,Andere,2.0
T32468,K0083,2021-04-22,2021-04-30,Abonnementsvraag,1.0
T89084,K0083,2021-04-17,2021-04-20,Facturatieprobleem,
T36986,K0084,2021-01-28,2021-01-30,Andere,3.0
T17530,K0084,2021-08-27,2021-09-05,Facturatieprobleem,4.0
T61262,K0084,2022-01-13,2022-01-16,Abonnementsvraag,4.0
T19012,K0085,2021-04-24,2021-05-01,Andere,
T97135,K0086,2023-06-06,2023-06-10,Abonnementsvraag,4.0
T36604,K0086,2022-05-02,2022-05-12,Abonnementsvraag,5.0
T10975,K0086,2022-05-30,2022-06-07,Abonnementsvraag,2.0
T42353,K0087,2022-04-02,,Andere,5.0
T85514,K0088,2021-12-03,2021-12-11,Andere,4.0
T48987,K0088,2021-02-10,2021-02-15,Andere,3.0
T33537,K0088,2022-02-05,2022-02-08,Andere,2.0
T34044,K0088,2022-09-25,2022-10-03,Andere,
T30700,K0089,2022-08-06,,Facturatieprobleem,2.0
T18748,K0089,2021-10-08,2021-10-17,Abonnementsvraag,
T82459,K0089,2022-12-16,2022-12-20,Andere,4.0
T52731,K0089,2021-05-05,2021-05-07,Facturatieprobleem,5.0
T15850,K0089,2022-02-24,2022-03-01,Technische storing,5.0
T55043,K0090,2021-01-28,,Andere,4.0
T11407,K0090,2023-02-03,2023-02-07,Andere,1.0
T70849,K0090,2021-09-14,2021-09-17,Abonnementsvraag,
T67373,K0091,2022-04-18,,Technische storing,
T12367,K0091,2021-05-24,2021-05-29,Technische storing,2.0
T61229,K0091,2022-09-14,2022-09-19,Facturatieprobleem,5.0
T67757,K0092,2021-03-21,2021-03-22,Abonnementsvraag,2.0
T16259,K0093,2021-07-02,2021-07-03,Technische storing,4.0
T50412,K0093,2023-05-07,2023-05-16,Facturatieprobleem,4.0
T42728,K0094,2021-02-23,2021-02-24,Andere,2.0
T65270,K0094,2022-01-19,2022-01-23,Facturatieprobleem,1.0
T97680,K0094,2021-01-29,2021-02-04,Technische storing,
T64484,K0096,2021-04-09,2021-04-12,Technische storing,1.0
T37147,K0097,2021-04-21,2021-04-27,Technische storing,5.0
T38020,K0097,2022-07-09,2022-07-16,Facturatieprobleem,2.0
T95720,K0097,2021-04-19,2021-04-22,Facturatieprobleem,4.0
T38848,K0097,2021-11-20,,Technische storing,4.0
T18825,K0099,2023-04-15,2023-04-25,Abonnementsvraag,1.0
T80278,K0099,2021-08-12,2021-08-22,Andere,1.0
T22418,K0099,2023-03-22,2023-04-01,Technische storing,3.0
T32980,K0099,2022-09-07,2022-09-14,Technische storing,3.0
T53922,K0099,2022-10-13,2022-10-19,Andere,1.0
T87000,K0101,2022-08-23,2022-09-01,Technische storing,5.0
T26260,K0101,2022-12-23,2022-12-27,Facturatieprobleem,5.0
T20405,K0101,2021-11-13,2021-11-20,Technische storing,5.0
T29879,K0101,2021-03-03,2021-03-11,Abonnementsvraag,2.0
T53082,K0102,2021-07-29,2021-08-02,Andere,
T47808,K0102,2021-05-18,2021-05-19,Andere,
T41752,K0102,2023-02-08,,Abonnementsvraag,3.0
T39156,K0103,2022-07-07,,Technische storing,
T92546,K0104,2023-06-13,2023-06-19,Technische storing,4.0
T35226,K0104,2021-01-07,,Andere,1.0
T22027,K0104,2021-02-23,2021-02-26,Technische storing,2.0
T20245,K0104,2021-06-27,2021-07-01,Technische storing,5.0
T65576,K0105,2023-01-13,2023-01-16,Technische storing,2.0
T68755,K0105,2021-06-30,2021-07-05,Abonnementsvraag,5.0
T62198,K0105,2022-10-13,2022-10-21,Facturatieprobleem,3.0
T73176,K0106,2021-06-21,2021-06-28,Andere,2.0
T88011,K0106,2021-01-21,2021-01-28,Facturatieprobleem,3.0
T70771,K0106,2022-07-05,2022-07-08,Abonnementsvraag,4.0
T53677,K0107,2022-04-10,2022-04-19,Andere,1.0
T10547,K0107,2021-05-20,2021-05-24,Technische storing,2.0
T61727,K0109,2023-01-18,2023-01-26,Andere,4.0
T87110,K0109,2023-01-31,2023-02-08,Abonnementsvraag,
T84135,K0109,2021-03-14,2021-03-15,Facturatieprobleem,4.0
T55688,K0109,2021-06-16,2021-06-23,Abonnementsvraag,
T60506,K0110,2022-12-28,2023-01-03,Facturatieprobleem,
T57371,K0110,2022-03-11,2022-03-15,Andere,1.0
T89355,K0110,2022-10-09,2022-10-10,Technische storing,3.0
T88924,K0110,2022-04-12,2022-04-15,Abonnementsvraag,2.0
T94462,K0111,2022-11-10,2022-11-11,Facturatieprobleem,1.0
T34749,K0111,2022-12-30,2023-01-06,Facturatieprobleem,5.0
T49612,K0111,2023-06-17,2023-06-24,Abonnementsvraag,
T63950,K0111,2022-05-28,2022-06-04,Abonnementsvraag,
T45261,K0112,2023-06-10,,Abonnementsvraag,2.0
T32072,K0112,2023-02-06,2023-02-13,Abonnementsvraag,1.0
T64767,K0112,2023-04-16,2023-04-18,Facturatieprobleem,
T33121,K0112,2022-06-22,2022-06-27,Andere,2.0
T33853,K0112,2022-01-19,2022-01-22,Technische storing,4.0
T17730,K0113,2021-04-23,2021-04-27,Technische storing,2.0
T67767,K0113,2023-02-07,2023-02-11,Abonnementsvraag,4.0
T48420,K0113,2022-10-04,2022-10-06,Technische storing,1.0
T13888,K0113,2021-03-29,2021-04-03,Facturatieprobleem,3.0
T44875,K0114,2021-08-29,2021-08-31,Facturatieprobleem,1.0
T37665,K0114,2023-02-09,2023-02-19,Facturatieprobleem,1.0
T72027,K0114,2022-06-19,2022-06-26,Abonnementsvraag,4.0
T99372,K0114,2023-02-15,2023-02-22,Abonnementsvraag,3.0
T90059,K0115,2021-11-19,2021-11-25,Andere,4.0
T69889,K0115,2021-02-28,2021-03-06,Facturatieprobleem,1.0
T26108,K0116,2022-02-16,2022-02-19,Facturatieprobleem,5.0
T91048,K0116,2023-06-09,2023-06-13,Abonnementsvraag,4.0
T34633,K0116,2022-12-04,2022-12-12,Andere,
T57212,K0116,2021-01-04,2021-01-10,Facturatieprobleem,
T68236,K0116,2023-06-14,,Abonnementsvraag,
T66087,K0117,2022-09-14,2022-09-24,Facturatieprobleem,3.0
T89583,K0118,2022-11-06,2022-11-08,Andere,3.0
T75264,K0118,2021-07-19,2021-07-28,Facturatieprobleem,2.0
T68495,K0118,2023-03-27,,Andere,2.0
T96474,K0120,2022-11-10,2022-11-14,Technische storing,2.0
T13830,K0120,2022-12-18,,Andere,
T38885,K0120,2021-06-14,2021-06-20,Andere,3.0
T93040,K0121,2021-09-21,2021-09-23,Technische storing,5.0
T88732,K0121,2023-01-13,2023-01-19,Technische storing,5.0
T94161,K0121,2021-03-08,2021-03-15,Andere,
T43959,K0121,2023-03-15,2023-03-22,Technische storing,2.0
T87620,K0121,2021-04-29,2021-05-01,Facturatieprobleem,3.0
T51074,K0122,2023-02-02,2023-02-12,Abonnementsvraag,2.0
T80202,K0123,2022-08-14,2022-08-19,Facturatieprobleem,5.0
T99037,K0123,2021-07-14,2021-07-21,Abonnementsvraag,3.0
T61814,K0123,2023-03-27,2023-04-06,Technische storing,1.0
T75514,K0125,2023-05-23,2023-05-26,Abonnementsvraag,2.0
T97208,K0125,2022-11-28,2022-12-08,Abonnementsvraag,2.0
T75847,K0125,2023-05-20,2023-05-21,Abonnementsvraag,3.0
T38272,K0125,2022-12-07,2022-12-17,Andere,
T30014,K0126,2021-10-26,2021-11-02,Facturatieprobleem,3.0
T73898,K0126,2023-04-28,2023-05-02,Facturatieprobleem,2.0
T61417,K0126,2023-01-15,2023-01-18,Facturatieprobleem,5.0
T19414,K0127,2022-03-09,2022-03-15,Andere,4.0
T81828,K0127,2022-06-25,2022-06-30,Technische storing,
T49855,K0128,2021-04-10,2021-04-20,Facturatieprobleem,
T73234,K0128,2022-04-14,2022-04-24,Technische storing,4.0
T35644,K0128,2021-10-26,2021-10-30,Technische storing,
T29346,K0129,2022-10-29,,Facturatieprobleem,
T22589,K0129,2022-01-21,2022-01-28,Technische storing,1.0
T77559,K0129,2021-12-31,2022-01-03,Facturatieprobleem,1.0
T62952,K0129,2022-10-28,2022-11-04,Technische storing,
T74045,K0129,2021-09-08,,Technische storing,4.0
T97914,K0130,2022-12-06,2022-12-09,Andere,
T60082,K0130,2022-11-06,,Andere,
T25286,K0131,2022-10-10,2022-10-16,Facturatieprobleem,1.0
T86919,K0131,2021-03-26,2021-04-04,Technische storing,1.0
T73463,K0132,2022-08-10,2022-08-12,Technische storing,4.0
T52628,K0132,2022-10-23,2022-10-28,Technische storing,1.0
T12588,K0132,2021-03-07,2021-03-16,Technische storing,4.0
T78013,K0132,2022-02-08,2022-02-17,Andere,1.0
T25378,K0133,2022-07-06,2022-07-08,Technische storing,
T68619,K0133,2021-07-05,2021-07-08,Facturatieprobleem,5.0
T37030,K0133,2023-03-31,2023-04-01,Technische storing,5.0
T21090,K0133,2022-10-31,2022-11-09,Abonnementsvraag,1.0
T96266,K0135,2021-11-02,2021-11-11,Technische storing,4.0
T80005,K0135,2021-01-01,2021-01-02,Abonnementsvraag,
T56152,K0135,2022-04-01,2022-04-09,Abonnementsvraag,5.0
T15863,K0135,2022-09-13,2022-09-17,Facturatieprobleem,
T88924,K0136,2021-02-07,2021-02-12,Technische storing,2.0
T91567,K0137,2021-08-10,2021-08-15,Technische storing,
T60040,K0137,2022-03-09,,Abonnementsvraag,3.0
T43315,K0137,2022-10-28,2022-11-04,Andere,1.0
T92518,K0137,2022-11-24,2022-11-27,Technische storing,1.0
T96155,K0138,2021-10-03,2021-10-07,Abonnementsvraag,5.0
T30118,K0138,2022-10-26,2022-11-05,Technische storing,4.0
T89116,K0138,2021-11-20,2021-11-27,Andere,1.0
T24416,K0138,2021-09-11,,Facturatieprobleem,5.0
T21662,K0138,2022-12-02,2022-12-04,Abonnementsvraag,
T11292,K0139,2021-12-08,2021-12-11,Technische storing,3.0
T26187,K0139,2021-04-11,2021-04-15,Andere,1.0
T79331,K0140,2022-06-24,2022-06-29,Andere,1.0
T22984,K0141,2022-12-19,2022-12-24,Abonnementsvraag,5.0
T98842,K0141,2021-02-19,2021-02-26,Technische storing,3.0
T26721,K0142,2022-07-19,2022-07-26,Andere,5.0
T26563,K0142,2021-09-23,,Technische storing,
T93780,K0142,2021-05-27,2021-06-01,Facturatieprobleem,
T70003,K0142,2022-01-15,2022-01-19,Andere,
T66068,K0143,2022-03-26,2022-04-03,Abonnementsvraag,3.0
T21395,K0144,2023-01-06,2023-01-10,Abonnementsvraag,
T20416,K0144,2021-11-09,2021-11-15,Facturatieprobleem,
T17525,K0144,2021-03-20,2021-03-22,Technische storing,5.0
T65572,K0144,2021-03-28,2021-04-06,Andere,1.0
T77503,K0145,2022-06-05,2022-06-08,Andere,4.0
T11821,K0145,2022-12-03,2022-12-12,Facturatieprobleem,4.0
T80035,K0145,2022-09-24,2022-09-25,Andere,
T68805,K0145,2023-02-07,2023-02-16,Facturatieprobleem,5.0
T19846,K0145,2021-06-22,2021-07-01,Technische storing,2.0
T74947,K0146,2023-05-10,2023-05-16,Facturatieprobleem,4.0
T42737,K0146,2022-01-24,2022-01-26,Abonnementsvraag,
T73324,K0147,2023-05-22,2023-05-24,Abonnementsvraag,3.0
T49953,K0147,2021-10-28,2021-10-29,Andere,2.0
T73998,K0147,2022-10-21,2022-10-22,Andere,5.0
T49105,K0147,2021-02-28,2021-03-10,Andere,3.0
T56469,K0148,2021-04-20,,Technische storing,4.0
T79349,K0148,2021-01-10,2021-01-18,Technische storing,1.0
T96066,K0149,2021-06-07,2021-06-15,Facturatieprobleem,2.0
T57775,K0149,2021-09-14,2021-09-21,Abonnementsvraag,3.0
T67484,K0149,2022-03-15,2022-03-24,Abonnementsvraag,1.0
T66880,K0149,2022-11-04,2022-11-07,Technische storing,3.0
T15276,K0151,2023-06-11,2023-06-13,Technische storing,3.0
T97320,K0151,2021-05-17,2021-05-23,Facturatieprobleem,2.0
T74103,K0152,2022-05-06,2022-05-11,Facturatieprobleem,4.0
T75779,K0153,2022-05-23,2022-05-26,Abonnementsvraag,4.0
T24139,K0153,2023-01-14,2023-01-21,Technische storing,1.0
T75536,K0153,2023-03-23,,Technische storing,3.0
T54845,K0153,2021-01-14,2021-01-18,Facturatieprobleem,
T46991,K0154,2022-09-04,2022-09-11,Andere,3.0
T90951,K0154,2022-05-13,,Andere,2.0
T25075,K0154,2021-06-06,2021-06-09,Technische storing,3.0
T23508,K0155,2022-12-19,2022-12-26,Technische storing,4.0
T87489,K0155,2022-12-19,2022-12-29,Technische storing,2.0
T15028,K0156,2022-10-12,2022-10-14,Technische storing,4.0
T90801,K0156,2021-10-08,2021-10-11,Andere,1.0
T63385,K0156,2021-07-24,,Facturatieprobleem,4.0
T65846,K0156,2022-06-22,2022-06-26,Technische storing,3.0
T16770,K0156,2022-05-06,,Andere,
T64797,K0157,2021-04-23,2021-04-28,Abonnementsvraag,
T10070,K0157,2021-09-10,2021-09-11,Technische storing,1.0
T89498,K0159,2023-02-02,2023-02-07,Andere,3.0
T53815,K0159,2021-04-14,2021-04-19,Andere,3.0
T57260,K0159,2021-11-08,2021-11-09,Technische storing,3.0
T95229,K0159,2023-01-30,2023-02-09,Abonnementsvraag,2.0
T27102,K0159,2021-10-10,2021-10-17,Facturatieprobleem,1.0
T68427,K0160,2023-01-31,2023-02-01,Technische storing,2.0
T72154,K0160,2021-04-12,,Abonnementsvraag,3.0
T35127,K0160,2023-02-19,2023-02-22,Facturatieprobleem,2.0
T68783,K0160,2022-03-05,2022-03-10,Abonnementsvraag,3.0
T64919,K0160,2022-10-07,2022-10-14,Facturatieprobleem,4.0
T26899,K0161,2022-05-31,2022-06-03,Abonnementsvraag,
T34928,K0161,2021-10-24,,Facturatieprobleem,
T67376,K0161,2023-01-29,2023-02-06,Facturatieprobleem,2.0
T89589,K0161,2023-02-08,2023-02-17,Andere,4.0
T11161,K0162,2021-07-31,2021-08-03,Technische storing,5.0
T78822,K0162,2023-06-20,2023-06-29,Andere,5.0
T25611,K0163,2021-11-07,2021-11-12,Abonnementsvraag,5.0
T15123,K0163,2021-06-25,2021-07-04,Technische storing,3.0
T16752,K0164,2021-06-01,2021-06-06,Technische storing,3.0
T95019,K0164,2022-10-20,2022-10-24,Facturatieprobleem,1.0
T81994,K0164,2021-12-22,2021-12-28,Abonnementsvraag,1.0
T17505,K0164,2021-09-28,2021-10-05,Abonnementsvraag,3.0
T46659,K0164,2022-10-03,2022-10-09,Technische storing,
T60067,K0165,2021-09-20,2021-09-29,Facturatieprobleem,
T38919,K0166,2021-09-21,2021-10-01,Technische storing,4.0
T68465,K0166,2021-11-29,2021-12-09,Andere,2.0
T72784,K0166,2021-08-26,2021-09-02,Abonnementsvraag,2.0
T34754,K0166,2021-04-06,2021-04-14,Technische storing,2.0
T50653,K0166,2022-08-07,2022-08-10,Abonnementsvraag,1.0
T28811,K0167,2021-07-01,2021-07-11,Technische storing,1.0
T79045,K0169,2021-09-09,2021-09-16,Facturatieprobleem,
T60330,K0169,2021-05-21,2021-05-22,Facturatieprobleem,4.0
T42550,K0169,2021-01-22,2021-01-23,Facturatieprobleem,2.0
T23938,K0171,2021-05-27,2021-06-06,Facturatieprobleem,1.0
T28249,K0171,2022-07-10,2022-07-16,Facturatieprobleem,2.0
T53483,K0172,2023-02-17,2023-02-25,Technische storing,3.0
T81252,K0172,2022-05-06,2022-05-07,Abonnementsvraag,
T81387,K0172,2021-05-07,,Facturatieprobleem,1.0
T39401,K0173,2021-04-16,2021-04-23,Technische storing,1.0
