klant_id,naam,regio,aanmelddatum,segment
K0100,Klant_100,Zuid,2020-07-01,Zakelijk
K0101,Klant_101,Noord,2021-10-24,Particulier
K0102,Klant_102,Zuid,2017-12-23,Onbekend
K0103,Klant_103,West,2017-01-23,Particulier
K0104,Klant_104,Noord,2021-11-21,Zakelijk
K0105,Klant_105,Noord,2018-06-06,Particulier
K0106,Klant_106,Noordoost,2021-11-17,Onbekend
K0107,Klant_107,Noordoost,2022-02-04,Particulier
K0108,Klant_108,Zuid,2020-01-29,Zakelijk
K0109,Klant_109,Zuid,2019-03-13,Onbekend
K0110,Klant_110,Noordoost,2020-04-18,Zakelijk
K0111,Klant_111,Zuid,2020-05-31,Onbekend
K0112,Klant_112,Noord,2022-04-14,Onbekend
K0113,Klant_113,West,2019-02-01,Particulier
K0114,Klant_114,West,2021-08-10,Particulier
K0115,Klant_115,West,2018-03-18,Zakelijk
K0116,Klant_116,Noordoost,2021-06-20,Particulier
K0117,Klant_117,Noord,2019-02-08,Particulier
K0118,Klant_118,Noordoost,2019-10-13,Onbekend
K0119,Klant_119,Zuid,2020-09-10,Particulier
K0120,Klant_120,Noordoost,2018-05-31,Onbekend
K0121,Klant_121,Noord,2019-11-06,Onbekend
K0122,Klant_122,Noord,2019-03-03,Onbekend
K0123,Klant_123,Zuid,2017-12-02,Zakelijk
K0124,Klant_124,Noord,2021-11-18,Zakelijk
K0125,Klant_125,Noord,2017-09-15,Zakelijk
K0126,Klant_126,West,2018-05-12,Onbekend
K0127,Klant_127,Zuid,2019-06-15,Zakelijk
K0128,Klant_128,Oost,2017-06-09,Zakelijk
K0129,Klant_129,Oost,2021-02-07,Particulier
K0130,Klant_130,Noord,2019-05-02,Zakelijk
K0131,Klant_131,Oost,2021-08-15,Zakelijk
K0132,Klant_132,Oost,2022-04-16,Onbekend
K0133,Klant_133,Noord,2018-11-21,Onbekend
K0134,Klant_134,Oost,2021-08-26,Onbekend
K0135,Klant_135,Noordoost,2018-01-15,Onbekend
K0136,Klant_136,Zuid,2021-04-18,Onbekend
K0137,Klant_137,Zuid,2022-05-07,Onbekend
K0138,Klant_138,Zuid,2019-08-15,Zakelijk
K0139,Klant_139,Noord,2018-11-22,Onbekend
K0140,Klant_140,West,2020-12-21,Onbekend
K0141,Klant_141,Zuid,2021-06-25,Particulier
K0142,Klant_142,Noord,2020-07-15,Zakelijk
K0143,Klant_143,West,2022-02-02,Zakelijk
K0144,Klant_144,Zuid,2021-05-20,Zakelijk
K0145,Klant_145,Noord,2020-12-11,Onbekend
K0146,Klant_146,Zuid,2020-04-06,Onbekend
K0147,Klant_147,Zuid,2022-02-09,Onbekend
K0148,Klant_148,Noord,2019-12-03,Particulier
K0149,Klant_149,Noordoost,2021-04-29,Onbekend
K0150,Klant_150,Oost,2017-10-12,Particulier
K0151,Klant_151,West,2018-02-01,Zakelijk
K0152,Klant_152,Noord,2017-01-12,Onbekend
K0153,Klant_153,Oost,2021-06-19,Particulier
K0154,Klant_154,Oost,2020-08-18,Particulier
K0155,Klant_155,Noord,2022-04-06,Onbekend
K0156,Klant_156,Oost,2020-06-30,Zakelijk
K0157,Klant_157,Noordoost,2018-05-14,Zakelijk
K0158,Klant_158,Zuid,2019-01-24,Zakelijk
K0159,Klant_159,Noord,2017-02-04,Particulier
K0160,Klant_160,Oost,2018-12-28,Particulier
K0161,Klant_161,Noord,2019-04-29,Particulier
K0162,Klant_162,Noordoost,2017-03-31,Particulier
K0163,Klant_163,Zuid,2019-02-15,Zakelijk
K0164,Klant_164,Zuid,2018-08-28,Onbekend
K0165,Klant_165,Zuid,2022-04-30,Particulier
K0166,Klant_166,Noord,2019-08-28,Particulier
K0167,Klant_167,Zuid,2021-06-14,Zakelijk
K0168,Klant_168,Oost,2019-10-19,Onbekend
K0169,Klant_169,Noord,2018-02-22,Onbekend
K0170,Klant_170,Zuid,2017-04-25,Zakelijk
K0171,Klant_171,Zuid,2018-09-09,Zakelijk
K0172,Klant_172,Zuid,2022-04-11,Onbekend
K0173,Klant_173,Zuid,2020-05-04,Particulier
K0174,Klant_174,West,2019-04-06,Onbekend
K0175,Klant_175,Noordoost,2021-03-05,Zakelijk
K0176,Klant_176,Oost,2021-07-08,Particulier
K0177,Klant_177,Zuid,2021-02-25,Particulier
K0178,Klant_178,Zuid,2020-01-04,Zakelijk
K0179,Klant_179,Noord,2018-02-17,Zakelijk
K0180,Klant_180,West,2020-10-31,Zakelijk
K0181,Klant_181,Noordoost,2020-12-14,Onbekend
K0182,Klant_182,West,2018-12-30,Onbekend
K0183,Klant_183,Noord,2020-07-24,Particulier
K0184,Klant_184,Noordoost,2019-10-18,Zakelijk
K0185,Klant_185,Zuid,2019-01-31,Particulier
K0186,Klant_186,Zuid,2018-11-07,Particulier
K0187,Klant_187,Noordoost,2020-11-18,Particulier
K0188,Klant_188,Zuid,2022-03-08,Particulier
K0189,Klant_189,Oost,2018-04-02,Zakelijk
K0190,Klant_190,Noordoost,2019-07-09,Particulier
K0191,Klant_191,West,2017-07-11,Zakelijk
K0192,Klant_192,Noordoost,2019-01-09,Zakelijk
K0193,Klant_193,Zuid,2021-09-09,Onbekend
K0194,Klant_194,Oost,2020-01-28,Zakelijk
K0195,Klant_195,Oost,2021-04-21,Onbekend
K0196,Klant_196,Noord,2019-09-05,Zakelijk
K0197,Klant_197,West,2019-10-06,Zakelijk
K0198,Klant_198,Zuid,2017-04-06,Zakelijk
K0199,Klant_199,Zuid,2021-08-15,Onbekend
K0200,Klant_200,Noordoost,2018-10-25,Onbekend
K0201,Klant_201,Noord,2020-04-28,Particulier
K0202,Klant_202,Noord,2021-10-26,Onbekend
K0203,Klant_203,Noordoost,2017-02-06,Onbekend
K0204,Klant_204,Noord,2021-12-09,Onbekend
K0205,Klant_205,West,2020-10-24,Onbekend
K0206,Klant_206,West,2021-09-15,Particulier
K0207,Klant_207,West,2021-03-29,Onbekend
K0208,Klant_208,West,2017-10-06,Zakelijk
K0209,Klant_209,West,2017-08-05,Zakelijk
K0210,Klant_210,Noord,2019-05-17,Onbekend
K0211,Klant_211,Noord,2019-05-23,Onbekend
K0212,Klant_212,Oost,2021-12-27,Zakelijk
K0213,Klant_213,Zuid,2020-07-20,Zakelijk
K0214,Klant_214,Zuid,2022-03-20,Particulier
K0215,Klant_215,West,2017-03-03,Zakelijk
K0216,Klant_216,Noord,2018-08-19,Zakelijk
K0217,Klant_217,Zuid,2022-03-19,Onbekend
K0218,Klant_218,Noord,2018-12-30,Zakelijk
K0219,Klant_219,Noord,2020-09-27,Particulier
K0220,Klant_220,Noord,2018-02-01,Zakelijk
K0221,Klant_221,Noord,2018-11-30,Onbekend
K0222,Klant_222,Oost,2019-11-09,Onbekend
K0223,Klant_223,Noord,2017-06-26,Zakelijk
K0224,Klant_224,Noord,2021-06-24,Onbekend
K0225,Klant_225,West,2018-01-31,Particulier
K0226,Klant_226,Noordoost,2018-03-21,Particulier
K0227,Klant_227,Noord,2020-06-10,Zakelijk
K0228,Klant_228,Oost,2022-04-23,Zakelijk
K0229,Klant_229,Zuid,2017-03-17,Zakelijk
K0230,Klant_230,Noord,2017-09-22,Onbekend
K0231,Klant_231,Oost,2018-03-31,Particulier
K0232,Klant_232,Noord,2021-12-25,Particulier
K0233,Klant_233,Noord,2018-12-19,Onbekend
K0234,Klant_234,Noordoost,2019-01-05,Particulier
K0235,Klant_235,Noord,2020-11-08,Zakelijk
K0236,Klant_236,Oost,2021-05-07,Zakelijk
K0237,Klant_237,Zuid,2019-05-01,Zakelijk
K0238,Klant_238,West,2021-03-10,Particulier
K0239,Klant_239,Zuid,2020-10-22,Zakelijk
K0240,Klant_240,Oost,2017-05-24,Onbekend
K0241,Klant_241,Noord,2019-06-04,Onbekend
K0242,Klant_242,Noord,2019-12-29,Particulier
K0243,Klant_243,West,2020-01-28,Onbekend
K0244,Klant_244,Noord,2018-01-31,Onbekend
K0245,Klant_245,Noord,2019-11-15,Particulier
K0246,Klant_246,Noord,2019-08-06,Zakelijk
K0247,Klant_247,Zuid,2019-06-10,Zakelijk
K0248,Klant_248,West,2021-02-01,Zakelijk
K0249,Klant_249,West,2021-02-16,Particulier
K0250,Klant_250,Noord,2021-05-08,Onbekend
K0251,Klant_251,Zuid,2020-03-20,Zakelijk
K0252,Klant_252,Zuid,2020-03-13,Zakelijk
K0253,Klant_253,Oost,2018-07-23,Particulier
K0254,Klant_254,Noord,2019-11-29,Zakelijk
K0255,Klant_255,Noordoost,2017-04-19,Particulier
K0256,Klant_256,Noord,2021-09-13,Onbekend
K0257,Klant_257,Noord,2019-12-02,Particulier
K0258,Klant_258,Oost,2020-04-24,Particulier
K0259,Klant_259,Noord,2019-07-24,Particulier
K0260,Klant_260,Zuid,2018-02-02,Particulier
K0261,Klant_261,Zuid,2020-05-31,Onbekend
K0262,Klant_262,West,2018-09-26,Onbekend
K0263,Klant_263,Noord,2020-03-02,Zakelijk
K0264,Klant_264,Zuid,2020-04-01,Onbekend
K0265,Klant_265,Noordoost,2020-05-23,Onbekend
K0266,Klant_266,Noord,2019-01-03,Zakelijk
K0267,Klant_267,Noord,2017-08-23,Onbekend
K0268,Klant_268,Oost,2022-02-10,Particulier
K0269,Klant_269,Noord,2018-10-20,Particulier
K0270,Klant_270,Zuid,2019-01-21,Zakelijk
K0271,Klant_271,Noordoost,2018-08-11,Zakelijk
K0272,Klant_272,West,2019-10-30,Zakelijk
K0273,Klant_273,Zuid,2020-01-03,Particulier
K0274,Klant_274,Noord,2019-08-12,Onbekend
K0275,Klant_275,Zuid,2018-05-07,Particulier
K0276,Klant_276,West,2019-07-02,Zakelijk
K0277,Klant_277,Zuid,2020-06-30,Onbekend
K0278,Klant_278,Oost,2020-06-07,Onbekend
K0279,Klant_279,Oost,2021-03-23,Particulier
K0280,Klant_280,Noord,2020-04-12,Zakelijk
K0281,Klant_281,Zuid,2021-08-04,Particulier
K0282,Klant_282,Noord,2020-04-06,Onbekend
K0283,Klant_283,Noordoost,2017-06-19,Particulier
K0284,Klant_284,West,2020-11-17,Particulier
K0285,Klant_285,Zuid,2019-08-04,Zakelijk
K0286,Klant_286,Noord,2019-03-06,Zakelijk
K0287,Klant_287,Noord,2018-09-26,Onbekend
K0288,Klant_288,Oost,2020-05-02,Particulier
K0289,Klant_289,Zuid,2021-03-21,Particulier
K0290,Klant_290,Noord,2017-01-29,Particulier
K0291,Klant_291,Noord,2020-04-03,Onbekend
K0292,Klant_292,West,2020-12-16,Onbekend
K0293,Klant_293,Oost,2017-12-05,Zakelijk
K0294,Klant_294,Noord,2021-07-30,Zakelijk
K0295,Klant_295,Noordoost,2021-02-28,Zakelijk
K0296,Klant_296,Oost,2020-10-20,Particulier
K0297,Klant_297,West,2022-01-31,Particulier
K0298,Klant_298,West,2020-09-27,Zakelijk
K0299,Klant_299,Oost,2018-05-15,Particulier
K0300,Klant_300,West,2021-08-08,Zakelijk
K0301,Klant_301,Oost,2018-05-26,Onbekend
K0302,Klant_302,Zuid,2020-09-12,Zakelijk
K0303,Klant_303,Oost,2017-08-05,Onbekend
K0304,Klant_304,Zuid,2020-08-17,Particulier
K0305,Klant_305,Oost,2020-03-01,Zakelijk
K0306,Klant_306,West,2022-01-02,Particulier
K0307,Klant_307,Zuid,2019-12-30,Onbekend
K0308,Klant_308,West,2020-06-29,Onbekend
K0309,Klant_309,Noord,2020-12-09,Onbekend
K0310,Klant_310,Noord,2021-12-16,Particulier
K0311,Klant_311,Zuid,2018-03-21,Particulier
K0312,Klant_312,Zuid,2019-05-26,Particulier
K0313,Klant_313,Noord,2020-04-20,Particulier
K0314,Klant_314,Oost,2017-06-16,Onbekend
K0315,Klant_315,West,2017-04-01,Onbekend
K0316,Klant_316,Noord,2018-12-15,Zakelijk
K0317,Klant_317,Noord,2022-02-25,Zakelijk
K0318,Klant_318,Zuid,2021-04-04,Particulier
K0319,Klant_319,Zuid,2017-02-08,Onbekend
K0320,Klant_320,Zuid,2020-02-24,Onbekend
K0321,Klant_321,Noord,2021-01-14,Onbekend
K0322,Klant_322,Zuid,2017-06-22,Zakelijk
K0323,Klant_323,Oost,2018-10-15,Zakelijk
K0324,Klant_324,Zuid,2019-01-24,Onbekend
K0325,Klant_325,West,2020-05-28,Onbekend
K0326,Klant_326,Zuid,2021-07-20,Onbekend
K0327,Klant_327,Noord,2019-12-18,Zakelijk
K0328,Klant_328,West,2021-08-11,Onbekend
K0329,Klant_329,West,2018-04-21,Onbekend
K0330,Klant_330,Noord,2018-04-01,Particulier
K0331,Klant_331,Zuid,2019-04-09,Particulier
K0332,Klant_332,Noord,2019-06-14,Zakelijk
K0333,Klant_333,Noord,2020-10-16,Onbekend
K0334,Klant_334,West,2022-05-13,Onbekend
K0335,Klant_335,Noordoost,2019-10-22,Particulier
K0336,Klant_336,Noordoost,2018-01-22,Zakelijk
K0337,Klant_337,Oost,2022-06-20,Particulier
K0338,Klant_338,Zuid,2017-12-14,Particulier
K0339,Klant_339,Noord,2017-07-09,Particulier
K0340,Klant_340,Noord,2018-05-20,Particulier
K0341,Klant_341,Oost,2020-04-29,Onbekend
K0342,Klant_342,Oost,2021-03-12,Onbekend
K0343,Klant_343,Oost,2020-10-24,Particulier
K0344,Klant_344,West,2020-12-03,Zakelijk
K0345,Klant_345,Noord,2019-04-04,Zakelijk
K0346,Klant_346,Noord,2019-07-18,Zakelijk
K0347,Klant_347,West,2019-07-23,Zakelijk
K0348,Klant_348,Oost,2020-02-15,Particulier
K0349,Klant_349,Noord,2017-05-14,Onbekend
K0350,Klant_350,West,2017-02-27,Zakelijk
K0351,Klant_351,Noord,2021-04-29,Particulier
K0352,Klant_352,West,2018-11-16,Zakelijk
K0353,Klant_353,Noord,2018-11-03,Zakelijk
K0354,Klant_354,Oost,2017-06-22,Particulier
K0355,Klant_355,Noord,2022-01-27,Onbekend
K0356,Klant_356,Noord,2019-03-26,Onbekend
K0357,Klant_357,Oost,2020-03-18,Particulier
K0358,Klant_358,Noord,2017-03-21,Onbekend
K0359,Klant_359,Noordoost,2019-06-05,Particulier
K0360,Klant_360,Zuid,2020-05-21,Particulier
K0361,Klant_361,Noord,2017-07-22,Particulier
K0362,Klant_362,Zuid,2019-02-03,Onbekend
K0363,Klant_363,Zuid,2020-06-06,Particulier
K0364,Klant_364,Noord,2021-08-27,Zakelijk
K0365,Klant_365,Oost,2020-06-04,Onbekend
K0366,Klant_366,Noordoost,2021-08-10,Onbekend
K0367,Klant_367,Noord,2021-04-05,Onbekend
K0368,Klant_368,West,2021-01-04,Onbekend
K0369,Klant_369,Noord,2020-11-26,Zakelijk
K0370,Klant_370,West,2017-02-16,Onbekend
K0371,Klant_371,Noord,2020-06-10,Onbekend
K0372,Klant_372,Noord,2020-08-21,Particulier
K0373,Klant_373,Noordoost,2021-03-30,Onbekend
K0374,Klant_374,West,2020-03-12,Zakelijk
K0375,Klant_375,Zuid,2020-12-09,Zakelijk
K0376,Klant_376,Oost,2021-03-17,Zakelijk
K0377,Klant_377,Noord,2020-10-28,Zakelijk
K0378,Klant_378,Noord,2021-05-09,Onbekend
K0379,Klant_379,West,2022-03-25,Onbekend
K0380,Klant_380,Oost,2020-07-06,Zakelijk
K0381,Klant_381,Oost,2018-10-18,Zakelijk
K0382,Klant_382,Noord,2018-04-16,Onbekend
K0383,Klant_383,Zuid,2022-05-31,Zakelijk
K0384,Klant_384,Noord,2019-08-29,Particulier
K0385,Klant_385,Noord,2019-11-02,Zakelijk
K0386,Klant_386,Noord,2020-09-15,Zakelijk
K0387,Klant_387,Noord,2019-01-06,Particulier
K0388,Klant_388,Noord,2019-02-23,Particulier
K0389,Klant_389,Noordoost,2019-08-26,Onbekend
K0390,Klant_390,Oost,2017-12-24,Onbekend
K0391,Klant_391,Noord,2019-08-30,Particulier
K0392,Klant_392,Oost,2020-12-02,Particulier
K0393,Klant_393,Oost,2018-10-30,Onbekend
K0394,Klant_394,Zuid,2018-01-08,Zakelijk
K0395,Klant_395,Noordoost,2019-10-29,Particulier
K0396,Klant_396,Noord,2020-02-20,Onbekend
K0397,Klant_397,Noord,2020-10-03,Zakelijk
K0398,Klant_398,West,2018-11-07,Particulier
K0399,Klant_399,Zuid,2017-03-31,Zakelijk
K0400,Klant_400,Noord,2021-07-30,Onbekend
K0401,Klant_401,Noordoost,2018-11-29,Particulier
K0402,Klant_402,West,2020-09-01,Zakelijk
K0403,Klant_403,Noordoost,2020-04-16,Particulier
K0404,Klant_404,Oost,2018-06-24,Zakelijk
K0405,Klant_405,West,2019-01-02,Onbekend
K0406,Klant_406,Oost,2019-05-19,Onbekend
K0407,Klant_407,Noord,2017-02-10,Particulier
K0408,Klant_408,Noord,2019-01-10,Zakelijk
K0409,Klant_409,West,2021-09-24,Particulier
K0410,Klant_410,West,2022-05-01,Particulier
K0411,Klant_411,Noord,2018-05-17,Zakelijk
K0412,Klant_412,Noordoost,2019-08-17,Zakelijk
K0413,Klant_413,Noord,2020-03-14,Zakelijk
K0414,Klant_414,Noordoost,2020-05-09,Onbekend
K0415,Klant_415,Noord,2019-07-18,Particulier
K0416,Klant_416,Oost,2021-10-14,Particulier
K0417,Klant_417,West,2018-04-06,Onbekend
K0418,Klant_418,Noord,2019-01-02,Zakelijk
K0419,Klant_419,Noordoost,2019-01-22,Onbekend
K0420,Klant_420,Noordoost,2019-07-14,Onbekend
K0421,Klant_421,Noord,2019-06-28,Onbekend
K0422,Klant_422,Noord,2021-05-01,Particulier
K0423,Klant_423,Noordoost,2021-04-20,Onbekend
K0424,Klant_424,Zuid,2020-06-30,Particulier
K0425,Klant_425,Oost,2018-01-25,Particulier
K0426,Klant_426,West,2021-06-06,Particulier
K0427,Klant_427,Noord,2019-06-02,Zakelijk
K0428,Klant_428,West,2017-09-13,Particulier
K0429,Klant_429,Zuid,2018-12-10,Particulier
K0430,Klant_430,Noordoost,2022-01-13,Zakelijk
K0431,Klant_431,Noordoost,2022-04-29,Particulier
K0432,Klant_432,Zuid,2018-03-26,Onbekend
K0433,Klant_433,Noord,2017-01-10,Onbekend
K0434,Klant_434,Oost,2019-04-04,Particulier
K0435,Klant_435,Zuid,2019-03-09,Zakelijk
K0436,Klant_436,Noord,2020-06-19,Onbekend
K0437,Klant_437,Zuid,2020-06-28,Zakelijk
K0438,Klant_438,Zuid,2019-05-27,Zakelijk
K0439,Klant_439,Noord,2019-10-26,Onbekend
K0440,Klant_440,Zuid,2020-02-17,Zakelijk
K0441,Klant_441,Oost,2019-10-13,Onbekend
K0442,Klant_442,Noord,2021-12-30,Zakelijk
K0443,Klant_443,Zuid,2018-01-09,Onbekend
K0444,Klant_444,Zuid,2019-12-25,Particulier
K0445,Klant_445,Noord,2017-05-26,Onbekend
K0446,Klant_446,Zuid,2017-08-12,Onbekend
K0447,Klant_447,Zuid,2020-06-16,Onbekend
K0448,Klant_448,Zuid,2017-06-26,Onbekend
K0449,Klant_449,Oost,2021-12-08,Zakelijk
K0450,Klant_450,Zuid,2019-05-03,Particulier
K0451,Klant_451,Zuid,2020-07-29,Onbekend
K0452,Klant_452,Zuid,2017-03-04,Zakelijk
K0453,Klant_453,Noord,2020-05-25,Particulier
K0454,Klant_454,Noord,2022-02-21,Particulier
K0455,Klant_455,Noord,2019-04-07,Particulier
K0456,Klant_456,Oost,2019-03-06,Particulier
K0457,Klant_457,Noord,2018-11-20,Onbekend
K0458,Klant_458,Zuid,2021-01-24,Onbekend
K0459,Klant_459,Noordoost,2022-05-07,Zakelijk
K0460,Klant_460,Zuid,2021-06-22,Zakelijk
K0461,Klant_461,Zuid,2017-04-15,Zakelijk
K0462,Klant_462,Zuid,2020-01-28,Particulier
K0463,Klant_463,Oost,2018-05-26,Particulier
K0464,Klant_464,Zuid,2018-01-20,Onbekend
K0465,Klant_465,Noord,2018-02-09,Particulier
K0466,Klant_466,Noordoost,2019-04-03,Particulier
K0467,Klant_467,West,2018-06-02,Particulier
K0468,Klant_468,Zuid,2018-04-21,Zakelijk
K0469,Klant_469,Zuid,2018-12-10,Zakelijk
K0470,Klant_470,Noord,2022-03-02,Onbekend
K0471,Klant_471,West,2021-07-27,Particulier
K0472,Klant_472,Noordoost,2022-03-09,Particulier
K0473,Klant_473,West,2019-02-10,Onbekend
K0474,Klant_474,Noord,2020-12-31,Particulier
K0475,Klant_475,Noord,2019-11-13,Particulier
K0476,Klant_476,Noord,2019-09-24,Zakelijk
K0477,Klant_477,West,2021-05-08,Onbekend
K0478,Klant_478,Oost,2018-11-08,Onbekend
K0479,Klant_479,Zuid,2018-12-15,Onbekend
K0480,Klant_480,Zuid,2021-01-21,Onbekend
K0481,Klant_481,West,2017-03-24,Zakelijk
K0482,Klant_482,Zuid,2020-03-14,Zakelijk
K0483,Klant_483,Zuid,2020-01-14,Particulier
K0484,Klant_484,Zuid,2020-01-07,Particulier
K0485,Klant_485,Zuid,2018-04-02,Particulier
K0486,Klant_486,Noord,2022-03-17,Particulier
K0487,Klant_487,Oost,2017-01-01,Zakelijk
K0488,Klant_488,Noord,2017-02-20,Onbekend
K0489,Klant_489,Zuid,2018-11-16,Zakelijk
K0490,Klant_490,Zuid,2018-12-18,Particulier
K0491,Klant_491,Noord,2021-12-01,Zakelijk
K0492,Klant_492,Noordoost,2021-01-09,Onbekend
K0493,Klant_493,Noord,2018-03-25,Onbekend
K0494,Klant_494,Zuid,2019-05-31,Zakelijk
K0495,Klant_495,Zuid,2018-05-03,Zakelijk
K0496,Klant_496,Noord,2021-12-29,Zakelijk
K0497,Klant_497,Noord,2017-02-03,Particulier
K0498,Klant_498,West,2020-10-03,Zakelijk
K0499,Klant_499,Zuid,2017-04-05,Zakelijk
K0500,Klant_500,Noord,2020-01-01,Zakelijk
