klant_id,opgezegd,opzeggingsdatum
K0490,1,2023-12-26
K0491,0,
K0492,1,2023-10-23
K0493,1,2023-03-19
K0494,0,
K0495,0,
K0496,0,
K0497,0,
K0498,0,
K0499,0,
K0500,0,
